round_queries,600,1000,3400,9100,177700
round_k,2,8,45,191,888
round_shots,300,100,100,100,100,100
round_queries,300,500,1700,5500,21700,387700
round_k,2,8,27,108,376,1938
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7700,26100,647100
round_k,2,11,38,130,602,3235
round_shots,500,200,100,100,100
round_queries,500,1000,2500,8500,149100
round_k,2,12,42,156,745
round_shots,600,300,200,100,100
round_queries,600,1500,3800,9100,162500
round_k,2,9,45,183,812
round_shots,700,200,100,100,100,100
round_queries,700,1000,1700,5900,18900,406900
round_k,2,8,29,94,399,2034
round_shots,400,200,200,100,100
round_queries,400,1000,4600,12700,256900
round_k,2,11,63,268,1284
round_shots,400,200,100,100,100,100
round_queries,400,1000,1700,5900,21900,465700
round_k,2,8,29,109,454,2328
round_shots,300,200,100,100,100,100
round_queries,300,1000,1700,6500,20300,382300
round_k,2,8,32,101,415,1911
round_shots,700,200,100,100,100
round_queries,700,1400,3500,12100,243900
round_k,3,17,60,244,1219
round_shots,400,200,100,200,100
round_queries,400,1000,2300,17000,156100
round_k,2,11,42,183,780
round_shots,600,200,200,100,100,100
round_queries,600,1000,3400,6500,25100,523500
round_k,2,8,32,125,498,2617
round_shots,700,300,200,100,100
round_queries,700,1500,4600,11900,212900
round_k,2,11,59,232,1064
round_shots,400,200,100,100,100,100
round_queries,400,1000,2300,8300,28500,673100
round_k,2,11,41,142,620,3365
round_shots,500,200,100,100,100
round_queries,500,1400,3100,10300,153500
round_k,3,15,51,177,767
round_shots,700,200,100,100,100
round_queries,700,1400,2500,8700,158300
round_k,3,12,43,168,791
round_shots,500,200,100,100,100,100
round_queries,500,1400,2300,7900,28100,691900
round_k,3,11,39,140,639,3459
round_shots,500,200,200,100,100,100
round_queries,500,1000,3800,7100,27500,418900
round_k,2,9,35,137,449,2094
round_shots,300,200,200,200,100,100
round_queries,300,1000,3400,12200,24500,532300
round_k,2,8,30,122,506,2661
round_shots,300,200,200,100,100,100
round_queries,300,1000,3800,7700,29500,642900
round_k,2,9,38,147,612,3214
round_shots,500,200,100,100,100
round_queries,500,1400,2300,8500,149900
round_k,3,11,42,160,749
round_shots,500,200,100,100,100,100
round_queries,500,1400,2500,7900,24100,552100
round_k,3,12,39,120,518,2760
round_shots,300,200,100,200,100
round_queries,300,1000,1900,11800,144900
round_k,2,9,29,152,724
round_shots,600,200,200,100,100
round_queries,600,1000,3800,9500,143300
round_k,2,9,47,157,716
round_shots,300,200,200,200,100,100
round_queries,300,1000,3400,11800,29100,728100
round_k,2,8,29,145,666,3640
round_shots,300,100,200,100,100,100
round_queries,300,500,3400,7900,28700,578700
round_k,2,8,39,143,553,2893
round_shots,400,100,100,100,100,100
round_queries,400,500,1700,6100,21500,498700
round_k,2,8,30,107,479,2493
round_shots,600,200,100,100,100
round_queries,600,1400,2900,11300,199900
round_k,3,14,56,210,999
round_shots,500,300,100,100,100
round_queries,500,1500,2500,9700,141700
round_k,2,12,48,206,708
round_shots,500,200,200,100,100,100
round_queries,500,1000,3400,6700,23500,515700
round_k,2,8,33,117,504,2578
round_shots,500,200,200,100,100
round_queries,500,1000,3800,7700,152700
round_k,2,9,38,163,763
round_shots,500,100,200,100,100,100
round_queries,500,500,3400,6500,27500,669100
round_k,2,8,32,137,624,3345
round_shots,500,200,200,100,100
round_queries,500,1000,3800,9700,149700
round_k,2,9,48,165,748
round_shots,600,200,100,100,100,100
round_queries,600,1000,1900,6100,18700,439700
round_k,2,9,30,93,422,2198
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,25300,407700
round_k,2,9,30,126,426,2038
round_shots,500,200,200,200,100,100
round_queries,500,1000,3400,13400,31900,561100
round_k,2,8,33,159,596,2805
round_shots,500,100,100,200,100,100
round_queries,500,500,1700,11800,25900,622100
round_k,2,8,29,129,584,3110
round_shots,700,200,100,100,100
round_queries,700,1400,3100,10900,205300
round_k,3,15,54,217,1026
round_shots,500,200,100,100,100
round_queries,500,1400,2300,7900,151100
round_k,3,11,39,161,755
round_shots,500,200,100,100,100
round_queries,500,1400,3100,9700,156100
round_k,3,15,48,171,780
round_shots,400,300,200,100,100,100
round_queries,400,1500,4600,8500,31300,563700
round_k,2,11,42,156,654,2818
round_shots,500,200,100,100,100
round_queries,500,1400,2900,11300,188500
round_k,3,14,56,194,942
round_shots,500,200,100,100,100
round_queries,500,1400,2300,7700,150100
round_k,3,11,38,162,750
round_shots,700,200,100,100,100,100
round_queries,700,1000,1900,6700,23700,531300
round_k,2,9,33,118,512,2656
round_shots,300,200,100,100,100,100
round_queries,300,1000,1700,5300,19300,423100
round_k,2,8,26,96,415,2115
round_shots,600,200,200,100,100,100
round_queries,600,1000,3400,8300,31700,666300
round_k,2,8,41,158,638,3331
round_shots,600,200,100,100,100
round_queries,600,1400,2500,8900,157100
round_k,3,12,44,168,785
round_shots,400,200,100,100,100
round_queries,400,1000,2300,8900,156100
round_k,2,11,44,172,780
round_shots,600,200,100,100,100,100
round_queries,600,1000,1700,5900,19100,414100
round_k,2,8,29,95,406,2070
round_shots,500,200,200,100,100
round_queries,500,1400,5800,11300,195700
round_k,3,14,56,203,978
round_shots,500,200,100,100,100
round_queries,500,1400,2500,8500,162700
round_k,3,12,42,177,813
round_shots,500,200,200,100,100,100
round_queries,500,1000,3400,7700,26300,615500
round_k,2,8,38,131,583,3077
round_shots,500,200,200,100,100,100
round_queries,500,1000,3400,9100,32100,768900
round_k,2,8,45,160,703,3844
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,7300,22900,542500
round_k,2,9,36,114,507,2712
round_shots,400,100,200,100,100,100
round_queries,400,500,3400,9300,30900,732700
round_k,2,8,46,154,673,3663
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,6300,22100,500500
round_k,2,9,31,110,475,2502
round_shots,400,200,100,100,100,100
round_queries,400,1000,1700,5300,19900,321100
round_k,2,8,26,99,321,1605
round_shots,400,200,100,100,100,100
round_queries,400,1000,2300,8500,28500,672500
round_k,2,11,42,142,623,3362
round_shots,400,200,200,100,100,100
round_queries,400,1000,3800,7700,28100,672500
round_k,2,9,38,140,627,3362
round_shots,700,100,200,100,100
round_queries,700,700,5000,13500,263500
round_k,3,12,67,275,1317
round_shots,500,300,100,100,100
round_queries,500,1500,2500,9100,163500
round_k,2,12,45,173,817
round_shots,300,200,200,100,100,100
round_queries,300,1000,3400,6700,24300,590500
round_k,2,8,33,121,553,2952
round_shots,500,200,100,100,100
round_queries,500,1400,3100,10900,211700
round_k,3,15,54,216,1058
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6700,27100,667500
round_k,2,9,33,135,624,3337
round_shots,600,200,100,100,100,100
round_queries,600,1000,1700,5300,19500,450500
round_k,2,8,26,97,438,2252
round_shots,600,200,100,100,100
round_queries,600,1400,3100,10300,173100
