round_shots,1000,400,200,300,100,100,100,100
round_queries,1000,2000,5400,29100,34700,107900,362900,5991700
round_k,2,13,48,173,539,1814,6770,29958
round_shots,1300,300,200,300,200,100,100,100
round_queries,1300,900,1800,9300,23800,53100,159500,2407700
round_k,1,4,15,59,265,797,2956,12038
round_shots,1200,200,300,200,200,100,200,100
round_queries,1200,1000,4500,10200,41000,88300,611000,6256300
round_k,2,7,25,102,441,1527,7058,31281
round_shots,1100,200,200,200,200,100,100,100
round_queries,1100,1000,3800,13000,51400,122100,425100,6649900
round_k,2,9,32,128,610,2125,8467,33249
round_shots,1300,400,200,200,100,100,100
round_queries,1300,2000,5400,21800,50500,156300,2422100
round_k,2,13,54,252,781,2921,12110
round_shots,1100,400,400,200,100,100,100,100
round_queries,1100,2000,6800,11000,22300,72900,257900,4286300
round_k,2,8,27,111,364,1289,4973,21431
round_shots,800,200,200,200,100,100,100,100
round_queries,800,1000,3800,13800,26900,85900,307300,5216100
round_k,2,9,34,134,429,1536,5958,26080
round_shots,800,400,200,200,100,200,100,100
round_queries,800,2000,4600,17400,37100,230600,467100,7404100
round_k,2,11,43,185,576,2335,8374,37020
round_shots,1100,300,200,200,200,300,100,100
round_queries,1100,1500,4600,15800,61000,297300,388500,6340500
round_k,2,11,39,152,495,1942,7723,31702
round_shots,600,500,200,200,200,100,100
round_queries,600,2500,5400,18600,70200,148900,2192500
round_k,2,13,46,175,744,2786,10962
round_shots,700,200,200,200,100,100,100,100
round_queries,700,1000,3800,15000,25500,79900,269300,4393900
round_k,2,9,37,127,399,1346,5031,21969
round_shots,1100,300,200,200,100,100,100
round_queries,1100,1500,4600,18600,38500,125300,1794900
round_k,2,11,46,192,626,2306,8974
round_shots,600,400,200,200,200,100,100
round_queries,600,2000,4600,17800,69800,135300,2127900
round_k,2,11,44,174,676,2299,10639
round_shots,1200,400,200,200,200,100,100
round_queries,1200,2000,4600,16600,62200,142500,1956100
round_k,2,11,41,155,712,2387,9780
round_shots,1000,300,200,100,200,200,200,100
round_queries,1000,1500,4600,9700,59000,258600,883000,6892700
round_k,2,11,48,147,646,2207,8359,34463
round_shots,1100,400,400,200,200,100,100,100
round_queries,1100,2000,6800,11800,47000,108300,387300,5714100
round_k,2,8,29,117,541,1936,7623,28570
round_shots,1200,200,200,200,100,100,100,100
round_queries,1200,1000,3800,14200,29700,102300,373300,5269100
round_k,2,9,35,148,511,1866,7221,26345
round_shots,1200,300,200,200,100,100,100,100
round_queries,1200,1500,3800,13800,27300,88300,319500,5509500
round_k,2,9,34,136,441,1597,6228,27547
round_shots,700,300,200,200,100,200,100,100
round_queries,700,1500,4600,14200,28700,183400,382700,4598900
round_k,2,11,35,143,458,1913,7560,22994
round_shots,1200,400,200,200,300,200,100
round_queries,1200,2000,4600,19400,122100,285800,2484500
round_k,2,11,48,203,714,3159,12422
round_shots,1000,400,200,200,100,100,100,100
round_queries,1000,2000,4600,17400,35500,117900,433900,6590700
round_k,2,11,43,177,589,2169,8048,32953
round_shots,1100,400,200,200,200,300,100
round_queries,1100,2000,5400,18200,73400,461700,3398300
round_k,2,13,45,183,769,3177,16991
round_shots,1300,200,200,200,200,200,200,100
round_queries,1300,600,1800,6600,27000,103000,435800,4274900
round_k,1,4,16,67,257,1089,4919,21374
round_shots,900,200,300,200,200,100,100,100
round_queries,900,1000,4500,10200,39400,92900,297700,5249700
round_k,2,7,25,98,464,1488,5815,26248
round_shots,900,200,200,200,200,100,200,100
round_queries,900,1000,3000,9400,34200,73900,501400,4710700
round_k,2,7,23,85,369,1253,5407,23553
round_shots,1000,200,300,200,200,100,100,100
round_queries,1000,600,2700,7400,30600,65700,228500,3747700
round_k,1,4,18,76,328,1142,4343,18738
round_shots,1100,500,200,200,100,200,200,100
round_queries,1100,2500,5400,19800,41100,271000,1142600,7695300
round_k,2,13,49,205,677,2856,8953,38476
round_shots,900,300,300,200,100,100,100,100
round_queries,900,1500,5700,17400,36100,120100,413900,7367500
round_k,2,9,43,180,600,2069,8323,36837
round_shots,800,300,200,200,200,100,100,100
round_queries,800,1500,3800,15000,63400,124300,421300,5205300
round_k,2,9,37,158,621,2106,7950,26026
round_shots,1300,200,200,400,200,100,100,100,100
round_queries,1300,600,1800,11600,22200,34500,106700,371900,4810500
round_k,1,4,14,55,172,533,1859,6756,24052
round_shots,1200,200,200,300,200,100,100,100
round_queries,1200,600,1800,8700,22600,49700,157700,2483900
round_k,1,4,14,56,248,788,2987,12419
round_shots,800,300,200,100,200,200,200
round_queries,800,1500,4600,9300,55800,245000,3501000
round_k,2,11,46,139,612,2484,8752
round_shots,700,200,300,200,200,100,100,100
round_queries,700,1000,4500,10200,38600,84500,290700,3854900
round_k,2,7,25,96,422,1453,4934,19274
round_shots,700,400,200,200,100,100,100,100
round_queries,700,2000,4600,17400,37700,125900,465900,6260300
round_k,2,11,43,188,629,2329,8834,31301
round_shots,1100,300,200,200,200,100,100,100
round_queries,1100,1500,3800,13000,49400,106900,383700,5065500
round_k,2,9,32,123,534,1918,7074,25327
round_shots,800,300,200,200,200,100,200,100
round_queries,800,1500,3800,14200,53400,101500,651800,4498500
round_k,2,9,35,133,507,1629,5536,22492
round_shots,1000,300,200,200,100,100,100,100
round_queries,1000,1500,3800,13000,24300,78100,257100,4260300
round_k,2,9,32,121,390,1285,4966,21301
round_shots,800,300,200,200,200,100,100
round_queries,800,1500,4600,15800,68200,153900,2128300
round_k,2,11,39,170,769,2644,10641
round_shots,800,300,200,200,100,100,100,100
round_queries,800,1500,3800,14200,30300,101700,356300,5699500
round_k,2,9,35,151,508,1781,6476,28497
round_shots,1300,200,200,200,200,100,100,100
round_queries,1300,1000,3000,9400,35000,79300,254700,2962900
round_k,2,7,23,87,396,1273,4907,14814
round_shots,900,200,300,200,200,200,100,100
round_queries,900,1000,4500,10200,36600,149800,246300,4146100
round_k,2,7,25,91,374,1231,4782,20730
round_shots,1200,300,200,200,100,100,100,100
round_queries,1200,1500,3800,13000,22500,74500,250100,2880100
round_k,2,9,32,112,372,1250,4024,14400
round_shots,1100,300,200,200,200,200,100
round_queries,1100,1500,4600,16600,73800,335400,2638700
round_k,2,11,41,184,838,3705,13193
round_shots,1100,300,200,100,100,100,100,100
