round_k,0,1,6,23,86,191,745,3633,18473
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1300,4900,12700,62300,317500,1613300
round_k,0,1,6,24,63,311,1587,8066
round_shots,100,100,100,200,100,100,100,100
round_queries,100,300,1100,7000,23900,117700,594700,3045500
round_k,0,1,5,17,119,588,2973,15227
round_shots,100,100,100,100,100,200,100,100
round_queries,100,300,1300,5500,25100,135000,378900,1826700
round_k,0,1,6,27,125,337,1894,9133
round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,1300,6300,61000,181500,819100,4097900
round_k,0,1,6,31,152,907,4095,20489
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3500,15900,65100,295700,1278900,6360500
round_k,0,1,4,17,79,325,1478,6394,31802
round_shots,100,100,100,100,200,100,100,100,100
round_queries,100,300,1100,3700,27400,33300,119500,547900,2707900
round_k,0,1,5,18,68,166,597,2739,13539
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,2900,9700,19500,66100,300500,1546100
round_k,0,1,4,14,48,97,330,1502,7730
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3500,12900,55700,248500,1230100,6320700
round_k,0,1,4,17,64,278,1242,6150,31603
round_shots,100,100,100,100,100,200,100,100
round_queries,100,300,1100,5300,24100,171000,459500,2178900
round_k,0,1,5,26,120,427,2297,10894
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3300,8700,21100,100900,426100,2226300
round_k,0,1,4,16,43,105,504,2130,11131
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4100,8700,34700,169100,845700,4323900
round_k,0,1,5,20,43,173,845,4228,21619
round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,900,3700,23800,71900,360100,1833900
round_k,0,1,4,18,59,359,1800,9169
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4100,14500,49100,248900,1243700,6327300
round_k,0,1,5,20,72,245,1244,6218,31636
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3900,11100,41900,207700,1037700,5334700
round_k,0,1,5,19,55,209,1038,5188,26673
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,21100,71700,342900,1699900
round_k,0,1,5,24,105,358,1714,8499
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5500,23700,63700,216500,887900,4051500
round_k,0,1,6,27,118,318,1082,4439,20257
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,900,4300,20700,101500,436300,2178500
round_k,0,1,4,21,103,507,2181,10892
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5900,21900,94500,408700,2041900
round_k,0,1,6,29,109,472,2043,10209
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,9900,39500,181100,923300,4755300
round_k,0,1,5,24,49,197,905,4616,23776
round_shots,100,100,100,100,200,100,100,100,100
round_queries,100,300,900,2100,13000,36300,184900,948300,4840700
round_k,0,1,4,10,32,181,924,4741,24203
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,4100,15900,49700,188300,824500,4117100
round_k,0,1,6,20,79,248,941,4122,20585
round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,900,2900,27800,75700,330300,1681700
round_k,0,1,4,14,69,378,1651,8408
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,4300,15900,61900,295900,1483700,7386700
round_k,0,1,4,21,79,309,1479,7418,36933
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,23700,114900,359300,1182500,5247900
round_k,0,1,5,24,118,574,1796,5912,26239
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,500,1900,9100,30900,100500,330700,1484100,7506500
round_k,0,2,9,45,154,502,1653,7420,37532
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,4300,14500,43500,213300,978500,4873100
round_k,0,1,4,21,72,217,1066,4892,24365
round_shots,100,100,100,200,100,100,100,100,100
round_queries,100,300,1100,7800,9900,37500,179700,917300,4714100
round_k,0,1,5,19,49,187,898,4586,23570
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4500,10500,50100,228500,1129700,5815300
round_k,0,1,5,22,52,250,1142,5648,29076
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2500,9700,19500,97300,466900,2379500
round_k,0,1,3,12,48,97,486,2334,11897
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,4500,11300,24900,122100,568700,2868500
round_k,0,1,6,22,56,124,610,2843,14342
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3100,11900,27900,140100,705700,3608100
round_k,0,1,4,15,59,139,700,3528,18040
round_shots,100,100,100,200,100,100,100,100
round_queries,100,300,900,8600,26300,128900,655300,3361300
round_k,0,1,4,21,131,644,3276,16806
round_shots,100,100,100,100,200,100,100,100
round_queries,100,500,2100,10100,52200,173100,739700,3793500
round_k,0,2,10,50,130,865,3698,18967
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3900,12100,34900,139500,683700,3467100
round_k,0,1,5,19,60,174,697,3418,17335
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3700,10700,25900,90300,405500,1996900
round_k,0,1,5,18,53,129,451,2027,9984
round_shots,100,100,100,100,100,100,100,100
round_queries,100,500,1900,8100,33100,129100,558100,1836700
round_k,0,2,9,40,165,645,2790,9183
round_shots,100,100,100,100,100,200,100,100
round_queries,100,300,1100,5300,19700,118200,362700,1701100
round_k,0,1,5,26,98,295,1813,8505
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3300,12700,51900,235500,1182500,6080100
round_k,0,1,4,16,63,259,1177,5912,30400
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,4700,13100,29900,113300,525500,2638700
round_k,0,1,6,23,65,149,566,2627,13193
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,2700,9900,36700,120700,556700,2812900
round_k,0,1,4,13,49,183,603,2783,14064
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4500,11300,38300,192900,967900,4969500
round_k,0,1,5,22,56,191,964,4839,24847
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3300,8500,38500,176500,872100,4443100
round_k,0,1,4,16,42,192,882,4360,22215
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5500,13300,55900,286500,1429500,7322300
round_k,0,1,6,27,66,279,1432,7147,36611
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,4300,15100,39100,132500,602300,3013100
round_k,0,1,4,21,75,195,662,3011,15065
round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,900,3700,23000,77500,345700,1740100
round_k,0,1,4,18,57,387,1728,8700
round_shots,100,100,100,200,100,100,100,100
round_queries,100,300,1300,12600,43700,184500,940100,4801700
round_k,0,1,6,31,218,922,4700,24008
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3900,18900,64100,217700,586500,2954300
round_k,0,1,5,19,94,320,1088,2932,14771
round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,900,3300,20600,69300,326700,1624500
round_k,0,1,4,16,51,346,1633,8122
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5500,16500,41500,207500,1008500,5061900
round_k,0,1,6,27,82,207,1037,5042,25309
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5500,20300,43500,224100,1058100,5452700
round_k,0,1,6,27,101,217,1120,5290,27263
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,4300,10300,40100,197500,980700,5010300
round_k,0,1,6,21,51,200,987,4903,25051
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,15900,77900,369300,1852500
round_k,0,1,5,24,79,389,1846,9262
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,4500,9100,45700,224100,1144300,5874100
round_k,0,1,6,22,45,228,1120,5721,29370
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1300,4500,15100,70300,356500,1817100
round_k,0,1,6,22,75,351,1782,9085
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3900,13100,32900,131500,630500,3193700
round_k,0,1,5,19,65,164,657,3152,15968
round_shots,100,100,100,200,100,100,100,100
round_queries,100,300,1300,10600,35700,164700,825300,4242500
round_k,0,1,6,26,178,823,4126,21212
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,5500,15900,39900,190700,950700,4839900
round_k,0,1,5,27,79,199,953,4753,24199
round_shots,100,100,100,100,100,100,100,100
round_queries,100,500,1900,8500,43700,217100,1102700,5608900
round_k,0,2,9,42,218,1085,5513,28044
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,11700,45500,210900,1072700,5430300
round_k,0,1,5,23,58,227,1054,5363,27151
round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,900,3500,25800,88300,416300,2089500
round_k,0,1,4,17,64,441,2081,10447
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1500,6300,16900,65700,277300,1408500,7198500
round_k,0,1,7,31,84,328,1386,7042,35992
round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,900,4300,44200,115300,565100,2809900
round_k,0,1,4,21,110,576,2825,14049
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,500,1500,7700,17500,59300,264500,1355500,6966700
round_k,0,2,7,38,87,296,1322,6777,34833
round_shots,100,100,100,100,200,100,100,100,100
round_queries,100,300,900,3500,18200,57500,261700,1299300,6650100
round_k,0,1,4,17,45,287,1308,6496,33250
round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,1100,5300,22600,68300,336700,1687100
round_k,0,1,5,26,56,341,1683,8435
round_shots,200,100,100,100,100,200,100,100
round_queries,200,300,1100,5300,17900,139400,462300,2132700
round_k,0,1,5,26,89,348,2311,10663
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5900,21900,81300,333300,1571700
round_k,0,1,6,29,109,406,1666,7858
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,15300,48700,236300,1209500,6203500
round_k,0,1,5,24,76,243,1181,6047,31017
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,4500,12100,38500,195100,972300,4997700
round_k,0,1,4,22,60,192,975,4861,24988
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,14100,59300,273500,1374900,7060900
round_k,0,1,5,23,70,296,1367,6874,35304
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1500,3900,10100,36100,170100,854500,4371100
round_k,0,1,7,19,50,180,850,4272,21855
round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,1100,5500,24200,75300,374700,1908100
round_k,0,1,5,27,60,376,1873,9540
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5300,12100,45700,205100,1022700,5246300
round_k,0,1,6,26,60,228,1025,5113,26231
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1500,5500,11300,43900,199700,1011100,5132300
round_k,0,1,7,27,56,219,998,5055,25661
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3700,9900,26500,126700,580500,2948700
round_k,0,1,4,18,49,132,633,2902,14743
round_shots,100,100,100,100,200,100,100,100
