round_shots,300,300,200,200,100
round_queries,300,900,2200,8200,70900
round_k,1,5,20,89,354
round_shots,300,300,200,100
round_queries,300,900,2200,18900
round_k,1,5,25,94
round_shots,300,400,200,100,100
round_queries,300,1200,2200,3900,61900
round_k,1,5,19,77,309
round_shots,200,400,400,100,100
round_queries,200,1200,3600,2700,35100
round_k,1,4,13,44,175
round_shots,500,400,200,300,100
round_queries,500,1200,2200,12300,75100
round_k,1,5,20,94,375
round_shots,300,300,200,100,100
round_queries,300,900,2200,5100,66500
round_k,1,5,25,78,332
round_shots,300,300,100,100,100
round_queries,300,900,1300,3900,50700
round_k,1,6,19,61,253
round_shots,400,400,200,100,100
round_queries,400,1200,2200,3900,39300
round_k,1,5,19,61,196
round_shots,500,400,200,100
round_queries,500,1200,2600,23100
round_k,1,6,30,115
round_shots,300,400,100,200,100
round_queries,300,1200,1300,7800,70100
round_k,1,6,19,85,350
round_shots,400,400,200,100,100
round_queries,400,1200,2200,4900,71500
round_k,1,5,24,88,357
round_shots,400,400,200,100,100
round_queries,400,1200,2200,4900,65900
round_k,1,5,24,90,329
round_shots,600,300,100,100,100
round_queries,600,900,1100,3500,47100
round_k,1,5,17,58,235
round_shots,500,400,200,100,100
round_queries,500,1200,2200,3900,59300
round_k,1,5,19,69,296
round_shots,500,300,200,100
round_queries,500,900,2600,22100
round_k,1,6,30,110
round_shots,400,400,200,100,100
round_queries,400,1200,2600,6100,72500
round_k,1,6,30,110,362
round_shots,300,400,200,100
round_queries,300,1200,2200,18700
round_k,1,5,25,93
round_shots,500,400,200,100
round_queries,500,1200,2600,26900
round_k,1,6,29,134
round_shots,400,300,200,100,100
round_queries,400,900,2200,3900,52500
round_k,1,5,19,62,262
round_shots,500,300,200,200,100
round_queries,500,900,1800,5400,45300
round_k,1,4,13,54,226
round_shots,400,300,200,200,100
round_queries,400,900,1800,5400,44100
round_k,1,4,13,54,220
round_shots,400,400,400,100,100
round_queries,400,1200,3600,3700,54100
round_k,1,4,18,67,270
round_shots,800,400,300,200,100
round_queries,800,1200,2700,5400,47300
round_k,1,4,13,54,236
round_shots,400,300,200,100
round_queries,400,900,2200,18100
round_k,1,5,24,90
round_shots,600,300,300,100,100
round_queries,600,900,2700,3700,45500
round_k,1,4,18,59,227
round_shots,700,400,200,100,100
round_queries,700,1200,2600,4900,60700
round_k,1,6,24,91,303
round_shots,300,400,200,100,100
round_queries,300,1200,2200,3900,49100
round_k,1,5,19,70,245
round_shots,400,400,200,100
round_queries,400,1200,2600,25100
round_k,1,6,31,125
round_shots,400,400,100,100,100
round_queries,400,1200,1100,3700,58300
round_k,1,5,18,68,291
round_shots,200,400,100,100,100
round_queries,200,1200,1300,3900,62100
round_k,1,6,19,71,310
round_shots,500,300,200,100
round_queries,500,900,2200,18900
round_k,1,5,25,94
round_shots,400,300,200,200
round_queries,400,900,2600,37400
round_k,1,6,25,93
round_shots,300,300,100,300,100
round_queries,300,900,1100,9900,40100
round_k,1,5,16,55,200
round_shots,700,200,300,200,100
round_queries,700,600,2700,5400,46700
round_k,1,4,13,55,233
round_shots,400,400,200,100,100
round_queries,400,1200,2200,3900,56100
round_k,1,5,19,68,280
round_shots,700,400,200,200,100
round_queries,700,1200,1800,5400,46900
round_k,1,4,13,62,234
round_shots,400,400,200,100,100
round_queries,400,1200,2200,4700,56300
round_k,1,5,23,72,281
round_shots,400,300,200,100,100
round_queries,400,900,2200,4900,47100
round_k,1,5,24,76,235
round_shots,600,400,200,100,100
round_queries,600,1200,2200,4700,63300
round_k,1,5,23,79,316
round_shots,300,400,200,100,100
round_queries,300,1200,2200,3900,51700
round_k,1,5,19,63,258
round_shots,300,300,200,100,100
round_queries,300,900,2200,3900,54900
round_k,1,5,19,69,274
round_shots,300,400,100,200,100
round_queries,300,1200,1100,7000,66900
round_k,1,5,17,80,334
round_shots,200,300,200,200,100
round_queries,200,900,2200,7800,52500
round_k,1,5,19,72,262
round_shots,200,300,200,100,100
round_queries,200,900,2200,3900,60100
round_k,1,5,19,70,300
round_shots,200,400,100,200,100
round_queries,200,1200,1300,7800,47700
round_k,1,6,19,79,238
round_shots,500,300,100,100,100
round_queries,500,900,1300,3900,59500
round_k,1,6,19,71,297
round_shots,300,400,200,200,100
round_queries,300,1200,1800,5400,45900
round_k,1,4,13,55,229
round_shots,300,300,100,100,100
round_queries,300,900,1100,3500,45300
round_k,1,5,17,55,226
round_shots,600,300,200,100,100
round_queries,600,900,2200,4900,59300
round_k,1,5,24,79,296
round_shots,300,400,200,200,100
round_queries,300,1200,2200,7800,64300
round_k,1,5,19,79,321
round_shots,300,400,100,100,100
round_queries,300,1200,1300,3900,58100
round_k,1,6,19,71,290
round_shots,600,400,300,200,100
round_queries,600,1200,2700,5400,28900
round_k,1,4,13,41,144
round_shots,300,300,200,100,100
round_queries,300,900,2200,3700,47700
round_k,1,5,18,68,238
round_shots,200,400,100,200,100
round_queries,200,1200,1300,7800,37300
round_k,1,6,19,58,186
round_shots,600,400,200,100,100
round_queries,600,1200,2200,3900,46900
round_k,1,5,19,68,234
round_shots,500,400,200,100,100
round_queries,500,1200,2200,4900,72500
round_k,1,5,24,81,362
round_shots,300,400,200,100,100
round_queries,300,1200,2200,4900,54300
round_k,1,5,24,90,271
round_shots,200,300,200,100
round_queries,200,900,2200,21100
round_k,1,5,23,105
round_shots,500,400,100,100,100
round_queries,500,1200,1300,3900,58500
round_k,1,6,19,70,292
round_shots,300,400,100,100,100
round_queries,300,1200,1300,3900,61100
