round_queries,400,900,1400,3000,6600,36500,183600,214500,501900,808200,1755800,3861400,8843800
round_k,0,1,3,7,16,36,76,357,836,2020,4389,9653,22109
round_shots,400,300,200,200,200,300,400,1500,200,200,400,300,200
round_queries,400,900,1400,3000,6200,18900,57200,448500,345800,749000,3070000,6029700,8216200
round_k,0,1,3,7,15,31,71,149,864,1872,3837,10049,20540
round_shots,400,300,200,200,200,200,300,300,400,900,1200,400,400,100
round_queries,400,900,1400,3000,6600,14200,46500,109500,307600,1529100,4117200,4254000,11049200,6902900
round_k,0,1,3,7,16,35,77,182,384,849,1715,5317,13811,34514
round_shots,400,300,400,300,200,200,300,400,1200,1100,500,300,200,100
round_queries,400,900,2800,5100,8600,18200,55500,155600,975600,1809500,2467500,3869700,5895000,6553100
round_k,0,1,3,8,21,45,92,194,406,822,2467,6449,14737,32765
round_shots,400,300,300,200,300,600,1200,200,200,300,200,300,300,100
round_queries,400,900,2100,3000,9900,41400,169200,124200,251800,788700,1256600,4001700,10025100,7033500
round_k,0,1,3,7,16,34,70,310,629,1314,3141,6669,16708,35167
round_shots,400,300,200,300,500,1200,300,300,300,200,200,200,200
round_queries,400,900,1400,4500,15500,80400,87900,212700,509100,933400,2076200,4611000,10279400
round_k,0,1,3,7,15,33,146,354,848,2333,5190,11527,25698
round_shots,400,300,300,300,300,200,400,1300,200,300,200,200,200
round_queries,400,900,2100,5100,12900,19400,88400,578500,451400,1425300,2348200,5161400,11157800
round_k,0,1,3,8,21,48,110,222,1128,2375,5870,12903,27894
round_shots,500,300,200,300,500,1600,300,200,200,200,200,200,100
round_queries,500,900,1400,4500,18500,126400,143700,275800,572200,1220600,2814200,6299400,7237500
round_k,0,1,3,7,18,39,239,689,1430,3051,7035,15748,36187
round_shots,400,300,300,300,200,300,500,1300,1200,300,300,200,200
round_queries,400,900,2100,5100,8200,27900,118500,666900,1239600,1001100,2363100,3728200,8214600
round_k,0,1,3,8,20,46,118,256,516,1668,3938,9320,20536
round_shots,400,300,200,200,200,200,300,200,200,700,1200,400,200
round_queries,400,900,1400,3000,6600,14200,47100,75000,155800,1112300,3942000,6242800,7797400
round_k,0,1,3,7,16,35,78,187,389,794,1642,7803,19493
round_shots,400,300,300,300,200,200,500,1200,800,200,300,200,200
round_queries,400,900,2100,5100,9400,21000,110500,572400,764000,572600,1889100,3143000,6769000
round_k,0,1,3,8,23,52,110,238,477,1431,3148,7857,16922
round_shots,500,300,300,400,400,1100,600,200,300,200,200,200,200,200
round_queries,500,900,2100,6800,14800,86900,95400,95400,294900,471800,1051000,2276600,4581400,9615400
round_k,0,1,3,8,18,39,79,238,491,1179,2627,5691,11453,24038
round_shots,400,300,300,400,300,1400,600,200,200,300,200,200,200,100
round_queries,400,900,2100,7600,13500,127400,111000,111000,234200,719700,1281800,2918600,6662600,7590500
round_k,0,1,3,9,22,45,92,277,585,1199,3204,7296,16656,37952
round_shots,400,300,200,300,300,600,1100,300,300,200,300,300,200
round_queries,400,900,1400,4500,11100,49800,196900,227700,545100,845000,2604900,5345100,8390200
round_k,0,1,3,7,18,41,89,379,908,2112,4341,8908,20975
round_shots,500,400,300,200,400,700,1200,200,300,200,200,200,200
round_queries,500,1200,2100,3000,12400,48300,171600,131000,422700,687400,1491800,3396600,7756200
round_k,0,1,3,7,15,34,71,327,704,1718,3729,8491,19390
