round_queries,100,300,900,3300,75100
round_k,1,4,16,70,375
round_shots,100,100,100,100,100
round_queries,100,300,900,3500,69500
round_k,1,4,17,66,347
round_shots,100,200,100,100,100
round_queries,100,600,900,2700,48500
round_k,1,4,13,47,242
round_shots,200,100,100,100,100
round_queries,200,300,900,3500,72900
round_k,1,4,17,68,364
round_shots,100,100,100,100,100
round_queries,100,300,900,3900,68500
round_k,1,4,19,67,342
round_shots,100,100,100,100
round_queries,100,300,900,16500
round_k,1,4,17,82
round_shots,100,100,100,100
round_queries,100,300,900,16300
round_k,1,4,17,81
round_shots,100,100,100,100,100
round_queries,100,300,900,2900,53500
round_k,1,4,14,54,267
round_shots,100,100,100,100,100
round_queries,100,300,900,3300,65700
round_k,1,4,16,62,328
round_shots,100,100,100,100,100
round_queries,100,300,900,2900,67700
round_k,1,4,14,65,338
round_shots,100,200,100,100,100
round_queries,100,600,900,2700,53700
round_k,1,4,13,51,268
round_shots,100,100,100,100,100
round_queries,100,300,900,2700,48500
round_k,1,4,13,57,242
round_shots,100,100,100,100,100
round_queries,100,300,900,3300,56300
round_k,1,4,16,58,281
round_shots,100,100,100,100,100
round_queries,100,300,900,3300,65500
round_k,1,4,16,62,327
round_shots,100,100,200,100
round_queries,100,300,1800,18100
round_k,1,4,20,90
round_shots,100,100,100,100,100
round_queries,100,300,900,2900,57500
round_k,1,4,14,58,287
round_shots,200,100,100,100,100
round_queries,200,300,900,2900,60500
round_k,1,4,14,58,302
round_shots,100,100,100,100,100
round_queries,100,300,900,3300,54900
round_k,1,4,16,52,274
round_shots,100,100,200,100
round_queries,100,300,1800,19500
round_k,1,4,20,97
round_shots,100,100,100,100
round_queries,100,300,900,16100
round_k,1,4,17,80
round_shots,100,200,100,100,100
round_queries,100,600,900,3900,70500
round_k,1,4,19,64,352
round_shots,100,100,100,100
round_queries,100,300,900,16300
round_k,1,4,19,81
round_shots,200,200,100,100
round_queries,200,600,1500,28700
round_k,1,7,30,143
round_shots,100,100,200,100,100
round_queries,100,300,1800,3300,51700
round_k,1,4,16,55,258
round_shots,100,100,100,100,100
round_queries,100,300,900,2700,52500
round_k,1,4,13,51,262
round_shots,100,100,100,100
round_queries,100,300,900,15700
round_k,1,4,17,78
round_shots,200,100,200,100
round_queries,200,300,1800,24900
round_k,1,4,26,124
round_shots,100,100,100,100,100
round_queries,100,300,900,2900,59700
round_k,1,4,14,59,298
round_shots,100,100,100,100,100
round_queries,100,300,900,2700,60100
round_k,1,4,13,57,300
round_shots,200,100,100,100,100
round_queries,200,300,900,2700,46700
round_k,1,4,13,47,233
round_shots,100,100,200,100
round_queries,100,300,1800,23500
round_k,1,4,26,117
round_shots,200,100,100,100,100
round_queries,200,300,900,2900,51500
round_k,1,4,14,50,257
round_shots,200,100,100,100,100
round_queries,200,300,900,2900,59900
round_k,1,4,14,59,299
round_shots,200,100,100,100,100
round_queries,200,300,900,3500,62500
round_k,1,4,17,63,312
round_shots,100,100,200,100,100
round_queries,100,300,1800,3900,67100
round_k,1,4,19,65,335
round_shots,100,100,100,100
round_queries,100,300,900,15900
round_k,1,4,19,79
round_shots,100,200,100,100
round_queries,100,600,1500,21900
round_k,1,7,23,109
round_shots,100,100,100,100,100
round_queries,100,300,900,2700,42500
round_k,1,4,13,47,212
round_shots,100,100,100,100,100
round_queries,100,300,900,2700,39500
round_k,1,4,13,43,197
round_shots,100,100,100,100,100
round_queries,100,300,900,3300,62300
round_k,1,4,16,62,311
round_shots,200,100,100,100,100
round_queries,200,300,900,2700,51300
round_k,1,4,13,50,256
round_shots,100,100,200,100
round_queries,100,300,1800,17100
round_k,1,4,18,85
round_shots,100,100,100,100,100
round_queries,100,300,900,2900,54700
round_k,1,4,14,54,273
round_shots,200,100,100,100,100
round_queries,200,300,900,2900,50900
round_k,1,4,14,51,254
round_shots,200,200,100,100,100
round_queries,200,600,1100,3500,70100
round_k,1,5,17,67,350
round_shots,100,100,100,100,100
round_queries,100,300,900,3500,67700
round_k,1,4,17,65,338
round_shots,100,100,100,100
round_queries,100,300,900,16500
round_k,1,4,17,82
round_shots,100,100,100,100,100
round_queries,100,300,900,2700,63100
round_k,1,4,13,58,315
round_shots,100,200,100,100
round_queries,100,600,1100,18500
round_k,1,5,20,92
round_shots,100,100,100,100
round_queries,100,300,900,14900
round_k,1,4,17,74
round_shots,100,200,100,100
round_queries,100,600,900,14700
round_k,1,4,16,73
round_shots,200,200,100,100
round_queries,200,600,1100,19100
round_k,1,5,20,95
round_shots,100,100,100,100,100
round_queries,100,300,900,3300,58100
round_k,1,4,16,62,290
round_shots,200,100,100,100,100
round_queries,200,300,900,2700,61700
round_k,1,4,13,58,308
round_shots,100,200,100,100,100
round_queries,100,600,900,2900,48900
round_k,1,4,14,50,244
round_shots,100,100,100,100
round_queries,100,300,900,14700
round_k,1,4,16,73
round_shots,100,100,100,100,100
round_queries,100,300,900,3300,58100
round_k,1,4,16,56,290
round_shots,100,200,100,100
round_queries,100,600,1100,18300
round_k,1,5,21,91
round_shots,100,100,100,100,100
round_queries,100,300,900,2700,61300
round_k,1,4,13,59,306
round_shots,100,100,100,100,100
round_queries,100,300,900,3300,47500
round_k,1,4,16,52,237
round_shots,100,100,200,100
round_queries,100,300,1800,17500
round_k,1,4,20,87
round_shots,100,100,100,100,100
round_queries,100,300,900,2700,57300
round_k,1,4,13,55,286
round_shots,200,100,100,100,100
round_queries,200,300,900,2700,47100
round_k,1,4,13,46,235
round_shots,100,100,100,100,100
round_queries,100,300,900,2700,47300
round_k,1,4,13,50,236
round_shots,100,200,100,100,100
round_queries,100,600,1100,4300,76300
round_k,1,5,21,70,381
round_shots,100,100,100,100
round_queries,100,300,900,14300
round_k,1,4,16,71
round_shots,100,100,100,100
round_queries,100,300,900,14300
round_k,1,4,17,71
round_shots,100,100,100,100,100
round_queries,100,300,900,3300,66700
round_k,1,4,16,62,333
round_shots,100,100,100,100,100
round_queries,100,300,900,2900,67300
round_k,1,4,14,63,336
round_shots,100,200,100,100
round_queries,100,600,1100,18700
round_k,1,5,21,93
round_shots,200,200,100,100
round_queries,200,600,900,15300
round_k,1,4,17,76
round_shots,200,200,100,100
round_queries,200,600,1100,14900
round_k,1,5,17,74
round_shots,100,200,100,100
round_queries,100,600,1100,18900
round_k,1,5,22,94
round_shots,100,200,100,100,100
round_queries,100,600,900,2900,55500
round_k,1,4,14,55,277
round_shots,200,100,100,100,100
round_queries,200,300,900,3300,62100
round_k,1,4,16,59,310
round_shots,100,200,100,100
round_queries,100,600,1100,18700
round_k,1,5,20,93
round_shots,100,200,100,100
round_queries,100,600,1100,20700
round_k,1,5,21,103
round_shots,100,200,100,100,100
round_queries,100,600,900,2700,61300
round_k,1,4,13,59,306
round_shots,100,200,100,100,100
round_queries,100,600,900,2700,51300
round_k,1,4,13,53,256
round_shots,100,100,100,100,100
round_queries,100,300,900,2700,56100
round_k,1,4,13,59,280
round_shots,100,200,100,100,100
round_queries,100,600,900,2900,71500
round_k,1,4,14,65,357
round_shots,100,100,100,100,100
round_queries,100,300,900,2700,42900
round_k,1,4,13,43,214
round_shots,100,100,100,100,100
round_queries,100,300,900,2900,61300
round_k,1,4,14,59,306
round_shots,100,200,200,100
round_queries,100,600,2200,31900
round_k,1,5,32,159
round_shots,100,100,100,100,100
round_queries,100,300,900,2700,38700
round_k,1,4,13,40,193
round_shots,100,100,100,100
round_queries,100,300,900,16500
round_k,1,4,19,82
round_shots,200,100,100,100
round_queries,200,300,900,14300
round_k,1,4,17,71
round_shots,200,200,100,100,100
round_queries,200,600,900,2700,51500
round_k,1,4,13,50,257
round_shots,100,100,100,100
round_queries,100,300,900,15700
round_k,1,4,17,78
round_shots,100,100,200,100
round_queries,100,300,1800,16500
round_k,1,4,20,82
round_shots,100,100,100,100,100
round_queries,100,300,900,3300,53900
round_k,1,4,16,58,269
round_shots,200,100,100,100,100
round_queries,200,300,900,2700,52100
round_k,1,4,13,50,260
round_shots,100,100,100,100,100
round_queries,100,300,900,2900,61500
round_k,1,4,14,58,307
round_shots,100,100,100,100,100
round_queries,100,300,900,2900,60700
round_k,1,4,14,59,303
round_shots,100,200,200,100
round_queries,100,600,1800,19300
round_k,1,4,20,96
round_shots,100,200,100,100,100
round_queries,100,600,900,2700,55700
round_k,1,4,13,58,278
round_shots,200,100,100,100,100
