round_shots,400,300,100,100,100
round_queries,400,1500,2700,9700,190100
round_k,2,13,48,201,950
round_shots,500,100,100,100,100,100
round_queries,500,300,900,3300,11500,231700
round_k,1,4,16,57,242,1158
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7300,28900,721900
round_k,2,11,36,144,663,3609
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7500,28700,703700
round_k,2,11,37,143,646,3518
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7900,29500,737300
round_k,2,11,39,147,677,3686
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,7100,27300,695500
round_k,2,9,35,136,637,3477
round_shots,300,200,100,100,100
round_queries,300,1000,2300,8700,164100
round_k,2,11,43,173,820
round_shots,500,300,100,100,100,100
round_queries,500,1500,2300,7100,27900,679300
round_k,2,11,35,139,627,3396
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,6500,24500,604300
round_k,2,9,32,122,560,3021
round_shots,300,200,100,100,100
round_queries,300,1000,2300,8700,155100
round_k,2,11,43,167,775
round_shots,500,100,200,100,100,100
round_queries,500,300,1800,4700,17700,403100
round_k,1,4,23,88,399,2015
round_shots,500,100,100,100,100,100
round_queries,500,300,900,2700,10100,192300
round_k,1,4,13,50,200,961
round_shots,400,200,100,100,100,100
round_queries,400,1000,2300,7900,29300,743300
round_k,2,11,39,146,687,3716
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6100,22300,508100
round_k,2,9,30,111,485,2540
round_shots,500,300,100,100,100
round_queries,500,1500,2700,8700,156900
round_k,2,13,43,169,784
round_shots,500,200,100,100,100
round_queries,500,1000,2300,8500,165500
round_k,2,11,42,175,827
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,21700,478700
round_k,2,9,30,108,468,2393
round_shots,400,200,100,100,100,100
