round_queries,900,1400,3000,6600,14200,31400,65000,145400,325400,652600,2150700,6123900,9050200
round_k,0.1,1,3,7,16,35,78,162,363,813,1631,3584,10206,22625
round_shots,400,300,200,200,200,200,200,300,200,200,200,300,200,200
round_queries,900,1400,3000,6200,13000,27000,85500,157800,316200,694600,2288700,3945400,8831000
round_k,0.1,1,3,7,15,32,67,142,394,790,1736,3814,9863,22077
round_shots,400,300,200,200,200,200,200,200,200,200,200,200,200,200
round_queries,900,1400,3000,6600,14200,29400,61000,136200,293400,669000,1525400,3290200,7096600
round_k,0.1,1,3,7,16,35,73,152,340,733,1672,3813,8225,17741
round_shots,500,300,200,300,200,200,200,200,200,200,200,200,300,200
round_queries,900,1400,4500,8200,17000,35800,77000,163000,351400,743800,1696200,5487900,8635400
round_k,0.1,1,3,7,20,42,89,192,407,878,1859,4240,9146,21588
round_shots,400,300,300,200,200,200,200,200,200,200,200,200,200,200
round_queries,900,2100,3000,6600,14600,33000,76600,174600,390600,827000,1851000,4143000,9448600
round_k,0.1,1,3,7,16,36,82,191,436,976,2067,4627,10357,23621
round_shots,500,300,300,300,200,200,200,200,200,200,200,200,200,200
round_queries,900,2100,5100,8200,19000,38600,84600,189000,415000,911800,1930600,3942200,8990600
round_k,0.1,1,3,8,20,47,96,211,472,1037,2279,4826,9855,22476
round_shots,500,300,300,200,200,200,300,200,200,200,200,200,300,200
round_queries,900,2100,3000,6200,13800,45900,75800,154600,321400,719400,1640600,5612100,10806200
round_k,0.1,1,3,7,15,34,76,189,386,803,1798,4101,9353,27015
round_shots,400,300,200,200,200,200,200,300,300,200,300,200,200,200
round_queries,900,1400,3000,6600,13400,27000,88500,219900,337000,1152300,1960200,4227800,8479000
round_k,0.1,1,3,7,16,33,67,147,366,842,1920,4900,10569,21197
round_shots,400,300,200,200,300,200,200,200,200,200,200,200,200,200,100
round_queries,900,1400,3000,9300,14200,32200,70600,143800,299000,610200,1365800,2892200,6014200,6486100
round_k,0.1,1,3,7,15,35,80,176,359,747,1525,3414,7230,15035,32430
round_shots,400,300,300,200,200,200,300,300,200,200,300,200,200,200
round_queries,900,2100,3000,6200,13000,43500,110700,173800,367800,1257900,2387800,4788600,9957800
round_k,0.1,1,3,7,15,32,72,184,434,919,2096,5969,11971,24894
round_shots,500,300,300,200,300,200,200,300,200,200,300,200,200,200
round_queries,900,2100,3400,10500,15800,33800,113100,182200,415400,1272300,2193000,4644200,10395400
round_k,0.1,1,3,8,17,39,84,188,455,1038,2120,5482,11610,25988
round_shots,500,300,300,200,200,200,200,200,200,200,300,200,200,200
round_queries,900,2100,3800,8200,17000,37000,79800,178600,392200,1367100,2454200,4921800,10615800
round_k,0.1,1,3,9,20,42,92,199,446,980,2278,6135,12304,26539
round_shots,400,300,200,300,200,300,200,200,300,200,200,200,200,200
round_queries,900,1400,4500,7000,23100,39800,92200,287100,469400,1090600,2187000,4895000,10558200
round_k,0.1,1,3,7,17,38,99,230,478,1173,2726,5467,12237,26395
round_shots,400,300,200,200,200,200,300,200,200,200,200,200,300,200
round_queries,900,1400,3000,6200,12600,40500,66200,139800,307000,674200,1481000,5066100,8617800
round_k,0.1,1,3,7,15,31,67,165,349,767,1685,3702,8443,21544
round_shots,400,300,300,200,200,300,200,200,200,400,300,200,200,100
round_queries,900,2100,3400,7000,23100,38600,78600,179000,717200,1414500,2505000,5115400,5619500
round_k,0.1,1,3,8,17,38,96,196,447,896,2357,6262,12788,28097
round_shots,400,300,300,300,300,200,200,200,200,200,200,300,200
round_queries,900,2100,5700,14700,26200,55400,123800,277000,631400,1312600,4575900,7200600
round_k,0.1,1,3,9,24,65,138,309,692,1578,3281,7626,18001
round_shots,400,300,300,300,200,300,300,200,200,200,200,200,200,100
round_queries,900,2100,5100,7000,24300,62700,107800,241000,539400,1142200,2463400,5513800,6057300
round_k,0.1,1,3,8,17,40,104,269,602,1348,2855,6158,13784,30286
round_shots,400,300,200,200,300,200,200,200,200,200,300,200,200,200
round_queries,900,1400,3000,9300,16600,34200,69800,156200,324600,976500,1777400,3905000,8422600
round_k,0.1,1,3,7,15,41,85,174,390,811,1627,4443,9762,21056
round_shots,400,300,200,300,200,300,200,200,200,200,200,200,300,200
round_queries,900,1400,4500,6600,21900,36200,82200,173800,396200,809000,1880200,5655900,10438600
