round_queries,1000,1500,3300,8200,27400,108200,236700,785300,2765300,37110300
round_k,1,5,20,68,270,1183,3926,13826,44464,185551
round_shots,500,500,200,200,200,200,100,100,100,100
round_queries,500,1500,2200,7400,27400,108200,234100,753900,2402300,39200700
round_k,1,5,18,68,270,1170,3769,12011,45440,196003
round_shots,500,400,200,200,200,200,100,100,100,100
round_queries,500,1200,2200,7400,26600,102200,217100,726100,2417100,33537700
round_k,1,5,18,66,255,1085,3630,12085,41945,167688
round_shots,800,500,200,200,200,100,100,100,100,100
round_queries,800,1500,2200,7400,28200,54100,167100,509700,1676300,22972300
round_k,1,5,18,70,270,835,2548,8381,31017,114861
round_shots,600,500,200,200,200,100,200,100,100,100
round_queries,600,1500,2200,7400,27400,54100,329800,697900,2494900,23260500
round_k,1,5,18,68,270,824,3489,12474,38767,116302
round_shots,900,400,200,200,200,100,200,200,100,100
round_queries,900,1200,2200,7400,25800,44100,264600,1038600,2110100,30673100
round_k,1,5,18,64,220,661,2596,10550,38085,153365
round_shots,500,500,200,200,200,200,100,100,100,100
round_queries,500,1500,2200,6600,23000,91000,166700,540500,1884100,29178700
round_k,1,5,16,57,227,833,2702,9420,34897,145893
round_shots,600,600,200,200,200,200,100,100,100,100
round_queries,600,1800,2200,7400,28200,107400,232300,745700,2676500,36557500
round_k,1,5,18,70,268,1161,3728,13382,50556,182787
round_shots,500,500,200,200,200,200,100,100,100,100
round_queries,500,1500,2200,8200,31000,108200,239700,788300,2850900,30660100
round_k,1,5,20,77,270,1198,3941,14254,45974,153300
round_shots,400,500,200,200,200,200,200,200,100,100
round_queries,400,1500,2200,7400,26600,102200,435800,1738200,4242300,74160300
round_k,1,5,18,66,255,1089,4345,21211,85633,370801
round_shots,600,400,200,200,200,200,100,100,100,100
round_queries,600,1200,2200,7400,27400,109000,224100,747500,2380100,39908300
round_k,1,5,18,68,272,1120,3737,11900,46642,199541
round_shots,500,300,200,300,200,200,100,100,100,100
round_queries,500,900,2200,9900,24600,77800,168900,545300,1916300,28351900
round_k,1,5,16,61,194,844,2726,9581,35620,141759
round_shots,400,600,200,200,200,100,200,100,100,100
round_queries,400,1800,2200,7400,27400,54100,329800,708300,2489700,33797900
round_k,1,5,18,68,270,824,3541,12448,45525,168989
round_shots,700,500,200,200,200,200,300,100,100,100
round_queries,700,1500,2200,7400,28200,112600,730500,747900,2653100,44555100
round_k,1,5,18,70,281,1217,3739,13265,51256,222775
round_shots,600,600,300,200,200,200,100,100,200,100
round_queries,600,1800,4500,12600,48200,191000,366700,1152100,7946600,64904300
round_k,1,7,31,120,477,1833,5760,19866,81314,324521
round_shots,800,500,200,200,200,100,200,100,100,100
round_queries,800,1500,2200,7400,27400,54100,327400,745700,2698300,44705500
round_k,1,5,18,68,270,818,3728,13491,53045,223527
round_shots,500,300,200,200,200,100,200,100,100,100
round_queries,500,900,2200,7400,28200,58900,357000,765700,2746100,37270300
round_k,1,5,18,70,294,892,3828,13730,53666,186351
round_shots,700,400,200,200,200,100,100,100,200,100,100
round_queries,700,1200,2200,6600,23000,46300,141500,462300,2873400,4700900,52242100
round_k,1,5,16,57,231,707,2311,7183,23504,84889,261210
round_shots,700,500,200,200,200,100,100,100,100,100
round_queries,700,1500,2200,6600,23000,43700,131100,402300,1399900,25933300
round_k,1,5,16,57,218,655,2011,6999,26234,129666
round_shots,600,400,300,300,200,100,200,100,100,100
round_queries,600,1200,3300,13500,36200,66300,400200,800500,2846100,33484700
round_k,1,5,22,90,331,1000,4002,14230,51325,167423
round_shots,800,500,200,200,200,300,200,100,100,100
round_queries,800,1500,2200,7400,26600,142500,337000,678700,2219700,30382700
round_k,1,5,18,66,237,842,3393,11098,42678,151913
round_shots,400,500,200,200,300,300,100,100,100,100
round_queries,400,1500,2200,7400,37500,112500,136300,417900,1354700,20097700
round_k,1,5,18,62,187,681,2089,6773,24962,100488
round_shots,500,500,200,200,200,200,200,100,100,100
round_queries,500,1500,2200,8200,27400,108200,470600,938700,3438100,60807300
round_k,1,5,20,68,270,1176,4693,17190,68639,304036
round_shots,600,500,200,200,200,200,200,100,100,100
round_queries,600,1500,2200,7400,26600,103000,445800,706500,2240100,32964300
round_k,1,5,18,66,257,1114,3532,11200,43225,164821
round_shots,600,400,400,400,200,100,100,100,100,100
round_queries,600,1200,4400,19600,31000,56300,169300,555700,1921900,29933700
round_k,1,5,24,77,281,846,2778,9609,35464,149668
round_shots,400,700,200,200,200,200,100,100,100,100
round_queries,400,2100,3000,9000,27400,107400,230100,716100,2503100,37310300
round_k,1,7,22,68,268,1150,3580,12515,49065,186551
round_shots,800,300,200,200,200,200,200,100,100,100
round_queries,800,900,2200,7400,28200,108200,466600,821300,2856100,34170900
round_k,1,5,18,70,270,1166,4106,14280,56577,170854
round_shots,800,500,200,200,200,200,100,100,100,100
round_queries,800,1500,2200,7400,27400,111000,206700,682700,2400100,39970100
round_k,1,5,18,68,277,1033,3413,12000,46744,199850
round_shots,800,500,300,200,200,200,100,100,100,100
round_queries,800,1500,3300,8200,28200,111800,231900,762300,2434500,30898300
