round_shots,1000,1200,300,300,200,300,200,200,200,200,200,200
round_queries,3600,3300,7500,12200,37500,67000,141800,320600,691400,1579000,3692600
round_k,0.1,1,5,12,30,62,167,354,801,1728,3947,9231
round_shots,1100,1200,300,300,200,200,200,200,300,200,200,200
round_queries,3600,3300,7500,12200,25000,52200,114600,346500,611800,1417400,3285000
round_k,0.1,1,5,12,30,62,130,286,577,1529,3543,8212
round_shots,900,1200,400,500,300,300,200,200,300,300,200,200,100
round_queries,3600,4400,13500,21900,45300,67000,139400,435900,992700,1329800,2777800,2881900
round_k,0.1,1,5,13,36,75,167,348,726,1654,3324,6944,14409
round_shots,800,1400,400,200,200,200,200,200,200,100,200,200
round_queries,4200,5200,7400,15000,32200,67400,144200,333000,376100,1601400,3702200
round_k,0.1,1,6,18,37,80,168,360,832,1880,4003,9255
round_shots,1400,1300,400,300,200,300,200,200,300,200,200,200
round_queries,3900,4400,7500,12200,37500,69400,139400,435900,726200,1681000,3901400
round_k,0.1,1,5,12,30,62,173,348,726,1815,4202,9753
round_shots,1100,1200,400,400,200,200,200,200,200,200,200,200
round_queries,3600,4400,10800,12200,25000,52200,111800,246200,569400,1298200,2889400
round_k,0.1,1,5,13,30,62,130,279,615,1423,3245,7223
round_shots,1700,1100,400,400,300,400,300,300,200,200,200,100
round_queries,3300,4400,10800,18300,60400,122700,302700,449800,987000,2223000,2555100
round_k,0.1,1,5,13,30,75,204,504,1124,2467,5557,12775
round_shots,1200,1100,300,300,300,200,200,200,200,300,300,200
round_queries,3300,3300,7500,18300,30200,62200,137000,285800,910500,2345700,4277000
round_k,0.1,1,5,12,30,75,155,342,714,1517,3909,10692
round_shots,1200,1100,300,200,300,200,200,200,400,400,300,200
round_queries,3300,3300,5000,15300,25000,54600,121800,518000,1277200,2268300,3147400
round_k,0.1,1,5,12,25,62,136,304,647,1596,3780,7868
round_shots,1700,1200,300,300,200,200,200,300,300,300,200,300
round_queries,3600,3300,7500,12200,25000,52200,174900,399900,831300,1365400,4136100
round_k,0.1,1,5,12,30,62,130,291,666,1385,3413,6893
round_shots,1100,1100,300,200,300,200,200,200,200,200,300,200
round_queries,3300,3300,5000,15300,27400,59800,134200,310600,698600,2234700,3732200
round_k,0.1,1,5,12,25,68,149,335,776,1746,3724,9330
round_shots,2000,1200,400,400,200,200,200,300,200,200,200,200
round_queries,3600,4400,10800,12200,25000,54600,174900,315800,721000,1584200,3563400
round_k,0.1,1,5,13,30,62,136,291,789,1802,3960,8908
round_shots,1100,1100,400,500,300,200,300,200,300,200,200,100
round_queries,3300,4400,13500,21900,35000,107700,186600,622500,1042200,2133400,2436900
round_k,0.1,1,5,13,36,87,179,466,1037,2605,5333,12184
round_shots,1200,1400,1200,500,300,200,200,200,100,200,300,200
round_queries,4200,10800,13500,21900,35000,74600,169000,185900,793400,2703300,3866600
round_k,0.1,1,4,13,36,87,186,422,929,1983,4505,9666
round_shots,1400,1100,300,300,200,200,200,200,200,200,300,200
round_queries,3300,3300,7500,12200,25000,54600,119400,268600,614200,2133300,3877000
round_k,0.1,1,5,12,30,62,136,298,671,1535,3555,9692
round_shots,1100,1200,300,300,300,300,200,200,200,200,300,200
round_queries,3600,3300,7500,18300,41100,74600,159000,343400,761000,2667300,4639800
round_k,0.1,1,5,12,30,68,186,397,858,1902,4445,11599
round_shots,1300,1300,300,300,300,200,200,200,200,200,200,200
round_queries,3900,3300,7500,18300,29800,62200,136600,288600,639000,1474600,3419000
round_k,0.1,1,5,12,30,74,155,341,721,1597,3686,8547
round_shots,1400,1200,300,300,200,300,200,200,200,200,300,200
round_queries,3600,3300,7500,12200,37500,67000,144200,325800,733400,2339100,3714600
round_k,0.1,1,5,12,30,62,167,360,814,1833,3898,9286
round_shots,1700,1100,300,300,200,300,200,300,200,200,200,200
round_queries,3300,3300,7500,12200,36900,59800,189900,338200,770600,1633800,3707400
round_k,0.1,1,5,12,30,61,149,316,845,1926,4084,9268
round_shots,900,1300,400,400,300,200,200,200,200,200,200,200
round_queries,3900,4400,10800,18300,27400,62200,141800,310600,698600,1576600,3647800
round_k,0.1,1,5,13,30,68,155,354,776,1746,3941,9119
round_shots,1500,1300,300,200,300,200,300,200,200,200,200,100
round_queries,3900,3900,7400,22500,42200,134700,218600,460200,1059400,2437000,2811100
round_k,0.1,1,6,18,37,105,224,546,1150,2648,6092,14055
round_shots,1300,1200,300,300,200,200,200,200,200,200,200,200
round_queries,3600,3300,7500,12600,27400,59400,126600,268600,616600,1405000,3260200
round_k,0.1,1,5,12,31,68,148,316,671,1541,3512,8150
round_shots,2000,1200,400,400,200,200,200,200,200,200,300,300,100
round_queries,3600,4400,10800,12200,25000,52200,117000,256200,561800,1716300,3609900,2471900
round_k,0.1,1,5,13,30,62,130,292,640,1404,2860,6016,12359
round_shots,1100,1100,300,200,300,200,300,200,200,300,300,300
round_queries,3300,3300,5000,15300,22200,67500,116600,233800,779100,1872900,4535100
round_k,0.1,1,5,12,25,55,112,291,584,1298,3121,7558
round_shots,1000,1300,300,300,200,200,200,200,200,200,200,200,100
round_queries,3900,3300,7500,12200,25000,52200,119400,261000,594200,1308200,2777400,3025100
round_k,0.1,1,5,12,30,62,130,298,652,1485,3270,6943,15125
round_shots,1300,1400,400,200,300,200,200,300,200,200,200,100
round_queries,4200,5200,7400,22500,42200,89400,294300,517400,1163800,2608200,2786300
round_k,0.1,1,6,18,37,105,223,490,1293,2909,6520,13931
round_shots,700,1400,400,400,300,200,200,200,200,200,200,200
round_queries,4200,4400,10800,18900,32200,69800,154200,350600,793000,1666200,3762200
round_k,0.1,1,5,13,31,80,174,385,876,1982,4165,9405
round_shots,1300,1300,400,400,200,200,200,200,200,200,200,200
round_queries,3900,4400,10800,12200,25000,54600,114600,246200,557000,1275800,2834600
round_k,0.1,1,5,13,30,62,136,286,615,1392,3189,7086
round_shots,1100,1400,300,300,300,400,300,200,300,200,200,200
round_queries,4200,3300,7500,18300,60400,111300,174200,555300,917800,1971800,4563000
round_k,0.1,1,5,12,30,75,185,435,925,2294,4929,11407
round_shots,1000,1200,300,200,300,300,300,200,200,100,300,100
round_queries,3600,3300,5000,15300,36900,86100,154200,353000,397300,2544300,1984100
round_k,0.1,1,5,12,25,61,143,385,882,1986,4240,9920
round_shots,1600,1300,300,300,300,200,300,200,300,200,200,200
round_queries,3900,3300,7500,18300,27400,85500,149400,465900,838200,1790200,4045800
round_k,0.1,1,5,12,30,68,142,373,776,2095,4475,10114
round_shots,1100,1300,300,300,300,200,200,200,200,300,200,200
round_queries,3900,3300,7500,18900,27400,59800,134200,305800,1036500,1815400,4050600
round_k,0.1,1,5,12,31,68,149,335,764,1727,4538,10126
round_shots,1200,1300,300,300,300,200,200,200,200,300,200,200
