round_queries,900,2100,5000,17800,31100,94700,316300,5431700
round_k,3,12,44,155,473,1581,6207,27158
round_shots,1300,300,200,200,100,100,100,100
round_queries,1300,2100,5000,16200,31100,98100,357100,6250700
round_k,3,12,40,155,490,1785,6971,31253
round_shots,900,300,200,200,100,100,100,100
round_queries,900,2100,5000,16200,29500,97300,349100,5233300
round_k,3,12,40,147,486,1745,5540,26166
round_shots,1100,300,300,200,300,200,100,100
round_queries,1100,900,2700,6600,36300,91800,181300,2444500
round_k,1,4,16,60,229,906,3015,12222
round_shots,1000,200,200,100,200,100,100,100
round_queries,1000,600,1800,3300,19800,36700,118500,1783300
round_k,1,4,16,49,183,592,2198,8916
round_shots,1200,300,200,200,100,100,100,100
round_queries,1200,2100,5000,17800,31500,94500,283500,4187500
round_k,3,12,44,157,472,1417,5483,20937
round_shots,1500,300,200,200,200,200,100,100
round_queries,1500,2100,5000,19400,75400,308600,579500,7472300
round_k,3,12,48,188,771,2897,10046,37361
round_shots,1400,300,200,200,200,100,100
round_queries,1400,2100,5000,17800,73400,171700,2025900
round_k,3,12,44,183,858,3208,10129
round_shots,800,300,200,100,100,100,200,100
round_queries,800,2100,5000,8100,24500,79300,506200,3157100
round_k,3,12,40,122,396,1265,3886,15785
round_shots,1000,200,300,300,200,100,100,100
round_queries,1000,600,2700,9300,24600,57300,172300,2220700
round_k,1,4,15,61,286,861,2721,11103
round_shots,900,300,200,200,100,100,100,100
round_queries,900,2100,5000,19400,34300,111100,391500,7043300
round_k,3,12,48,171,555,1957,7911,35216
round_shots,1300,400,200,200,200,100,100,100
round_queries,1300,2800,5000,16600,60200,116100,407700,4894500
round_k,3,12,41,150,580,2038,6130,24472
round_shots,1000,200,200,200,100,100,100,100
round_queries,1000,1400,5000,16200,30300,94900,317900,5546900
round_k,3,12,40,151,474,1589,6260,27734
round_shots,1200,300,200,200,400,200,100
round_queries,1200,2100,5000,16200,128400,213800,1826700
round_k,3,12,40,160,534,2243,9133
round_shots,1100,200,300,200,200,100,200,100
round_queries,1100,600,2700,6600,24200,42500,279800,2100500
round_k,1,4,16,60,212,699,2933,10502
round_shots,1000,300,200,200,200,100,200,100
round_queries,1000,2100,5000,16200,60200,115300,761400,7697300
round_k,3,12,40,150,576,1903,8610,38486
round_shots,1500,200,200,200,200,100,100,100
round_queries,1500,1400,5000,16200,65000,99300,324500,5698100
round_k,3,12,40,162,496,1622,6448,28490
round_shots,1200,200,200,200,200,100,100,200,100
round_queries,1200,600,1800,6600,22600,43300,151100,941800,6216300
round_k,1,4,16,56,216,755,2354,10047,31081
round_shots,1100,200,300,200,300,100,100,100
round_queries,1100,600,2700,6600,42300,53900,179900,2545900
round_k,1,4,16,70,269,899,3105,12729
round_shots,900,300,300,200,100,100,100,100
round_queries,900,2100,7500,21000,41700,142300,446900,6815300
round_k,3,12,52,208,711,2234,7547,34076
round_shots,1500,300,300,200,100,100,100
round_queries,1500,2700,9300,19800,37500,120100,1782500
round_k,4,15,49,187,600,2198,8912
round_shots,1300,200,200,200,100,100,100
round_queries,1300,1800,6600,27800,60500,195900,2358700
round_k,4,16,69,302,979,2938,11793
round_shots,1400,300,200,200,100,100,100,100
round_queries,1400,2100,5000,16200,31100,93900,303300,5031300
round_k,3,12,40,155,469,1516,5733,25156
round_shots,1596,192,192,192,192,192,96
round_queries,1596,1728,6336,20160,69312,242880,1962336
round_k,4,16,52,180,632,2582,10220
round_shots,800,200,200,300,200,100,100,100
round_queries,800,600,1800,9300,24600,53100,178300,2298900
round_k,1,4,15,61,265,891,3077,11494
round_shots,1200,300,200,200,100,100,100
round_queries,1200,2100,5000,17800,35100,118500,1757100
round_k,3,12,44,175,592,2194,8785
round_shots,1300,300,200,200,100,200,100,100
round_queries,1300,2100,5000,16600,27700,181000,296700,4320900
round_k,3,12,41,138,452,1483,5811,21604
round_shots,1596,288,192,192,96,96,96,96
round_queries,1596,2016,4800,18624,36000,114528,404064,6822624
round_k,3,12,48,187,596,2104,8278,35534
round_shots,900,300,200,200,200,100,100
round_queries,900,2100,5000,16600,58600,125900,1868300
round_k,3,12,41,146,629,2300,9341
round_shots,1596,288,192,192,96,96,96,96
round_queries,1596,2016,4800,18624,32160,107424,381984,5800416
round_k,3,12,48,167,559,1989,7428,30210
