round_k,1,4,13,49,178,665,3214
round_shots,200,200,100,100,100,100,100
round_queries,200,600,1100,3700,12700,53900,981500
round_k,1,5,18,63,269,1205,4907
round_shots,200,100,200,200,100,100,100
round_queries,200,300,1800,7400,19100,68500,1103300
round_k,1,4,18,95,342,1215,5516
round_shots,200,200,100,100,100,100,100
round_queries,200,600,900,2900,9300,32100,669300
round_k,1,4,14,46,160,690,3346
round_shots,200,200,200,200,100,100,100
round_queries,200,600,2600,9800,20900,72100,913500
round_k,1,6,24,104,360,1343,4567
round_shots,200,200,100,100,100,200,100
round_queries,200,600,1300,4500,13700,88600,753300
round_k,1,6,22,68,221,899,3766
round_shots,100,200,100,100,100,100,100
round_queries,100,600,1100,3700,13100,45900,904100
round_k,1,5,18,65,229,960,4520
round_shots,100,200,100,100,100,200,100
round_queries,100,600,1100,3500,11500,83800,790300
round_k,1,5,17,57,209,894,3951
round_shots,100,200,100,100,100,100,100
round_queries,100,600,1300,4500,15500,63300,1116100
round_k,1,6,22,77,316,1357,5580
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,2900,10100,36500,403700
round_k,1,4,14,50,182,623,2018
round_shots,200,100,200,200,100,100,100
round_queries,200,300,1800,5800,15900,54100,925900
round_k,1,4,14,79,270,1088,4629
round_shots,100,100,200,100,100,100,100
round_queries,100,300,1800,3500,11500,43900,692900
round_k,1,4,17,57,219,792,3464
round_shots,100,200,100,100,100,100,100
round_queries,100,600,900,2700,8700,31100,609300
round_k,1,4,13,43,155,633,3046
round_shots,200,200,100,100,100,100,100
round_queries,200,600,900,3100,11500,38500,711500
round_k,1,4,15,57,192,689,3557
round_shots,200,200,100,100,100,100,100
round_queries,200,600,1100,3500,11500,40100,667300
round_k,1,5,17,57,200,688,3336
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,2700,8300,27300,556900
round_k,1,4,13,41,136,551,2784
round_shots,100,100,100,100,200,100,100
round_queries,100,300,900,2700,19000,43100,652900
round_k,1,4,13,47,215,712,3264
round_shots,200,200,200,100,100,100
round_queries,200,600,2600,5900,19100,327300
round_k,1,6,29,95,395,1636
round_shots,200,100,200,200,100,100,100
round_queries,200,300,1800,7000,16500,71300,1288700
round_k,1,4,17,82,356,1327,6443
round_shots,100,100,100,100,100,100,100
round_queries,100,300,900,2700,9100,35900,495900
round_k,1,4,13,45,179,639,2479
