round_shots,300,100,100,100,100,100,100
round_queries,300,300,1300,5100,24900,128900,663500
round_k,0,1,6,25,124,644,3317
round_shots,200,100,100,100,100,100
round_queries,200,300,1300,6100,31100,156300
round_k,0,1,6,30,155,781
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,23500,117700,613700
round_k,0,1,5,23,117,588,3068
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,5900,27900,143100,741500
round_k,0,1,6,29,139,715,3707
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,22900,116500,609100
round_k,0,1,5,23,114,582,3045
round_shots,100,200,100,100,100,100
round_queries,100,600,1700,7500,36500,183700
round_k,0,1,8,37,182,918
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,5300,26700,132700,693500
round_k,0,1,6,26,133,663,3467
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,25100,118300,601100
round_k,0,1,5,24,125,591,3005
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4700,20900,106500,551100
round_k,0,1,5,23,104,532,2755
round_shots,200,200,100,100,100,100,100
round_queries,200,600,1300,5100,23100,116300,612500
round_k,0,1,6,25,115,581,3062
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,5900,26500,123300,649900
round_k,0,1,6,29,132,616,3249
round_shots,300,100,100,100,100,100
round_queries,300,300,1300,6100,30700,191100
round_k,0,1,6,30,153,955
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4700,24100,116300,607900
round_k,0,1,5,23,120,581,3039
round_shots,200,200,100,100,100,100
round_queries,200,600,1500,6700,32900,165100
round_k,0,1,7,33,164,825
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,5300,25900,135700,708100
round_k,0,1,6,26,129,678,3540
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,21300,104700,541100
round_k,0,1,5,23,106,523,2705
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,6300,28500,146500,767100
round_k,0,1,6,31,142,732,3835
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,5100,25300,130100,672100
round_k,0,1,5,25,126,650,3360
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4900,24100,120900,617700
round_k,0,1,5,24,120,604,3088
round_shots,200,200,100,100,100,100
round_queries,200,600,1500,6700,32100,162500
round_k,0,1,7,33,160,812
round_shots,200,100,100,100,100,100
round_queries,200,300,1300,6300,30500,156100
round_k,0,1,6,31,152,780
round_shots,100,100,100,100,100,100
round_queries,100,300,1300,6300,31300,159300
round_k,0,1,6,31,156,796
round_shots,100,100,100,100,100,100
round_queries,100,300,1300,6100,30100,157500
round_k,0,1,6,30,150,787
round_shots,100,200,100,100,100,100
round_queries,100,600,1500,6500,32700,163100
round_k,0,1,7,32,163,815
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,3900,19100,97900,498500
round_k,0,1,5,19,95,489,2492
round_shots,100,200,100,100,100,100
round_queries,100,600,1500,6500,31100,163700
round_k,0,1,7,32,155,818
round_shots,100,100,100,100,100,100
round_queries,100,300,1300,6300,29900,153700
round_k,0,1,6,31,149,768
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4900,23700,121100,627500
round_k,0,1,5,24,118,605,3137
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,23300,119900,626700
round_k,0,1,5,24,116,599,3133
round_shots,300,100,100,100,100,100
round_queries,300,300,1300,6100,30300,152100
round_k,0,1,6,30,151,760
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,3900,17100,84100,443300
round_k,0,1,4,19,85,420,2216
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,5100,23500,116900,603100
round_k,0,1,5,25,117,584,3015
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,22300,113700,586300
round_k,0,1,5,24,111,568,2931
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,5100,24700,128700,662500
round_k,0,1,6,25,123,643,3312
round_shots,100,100,100,100,100,100
round_queries,100,300,1500,6700,32900,157500
round_k,0,1,7,33,164,787
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,3900,18100,85900,450100
round_k,0,1,5,19,90,429,2250
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,4900,24700,127700,662900
round_k,0,1,6,24,123,638,3314
round_shots,200,200,100,100,100,100
round_queries,200,600,1500,7700,38900,192700
round_k,0,1,7,38,194,963
round_shots,200,100,100,100,100,100
round_queries,200,300,1300,6300,29500,153500
round_k,0,1,6,31,147,767
round_shots,100,200,100,100,100,100,100
round_queries,100,600,1500,6300,29100,143500,746700
round_k,0,1,7,31,145,717,3733
round_shots,300,100,100,100,100,100,100
round_queries,300,300,1300,5100,22300,112500,588700
round_k,0,1,6,25,111,562,2943
round_shots,200,100,100,100,100,100
round_queries,200,300,1300,6100,30300,156500
round_k,0,1,6,30,151,782
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,22900,116500,613900
round_k,0,1,5,24,114,582,3069
round_shots,200,200,100,100,100,100
round_queries,200,600,1500,6100,29500,148100
round_k,0,1,7,30,147,740
round_shots,200,100,100,100,100,100
round_queries,200,300,1300,6300,30500,157100
round_k,0,1,6,31,152,785
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,5900,26500,126100,620900
round_k,0,1,6,29,132,630,3104
round_shots,100,200,100,100,100,100
round_queries,100,600,1700,7500,35500,182900
round_k,0,1,8,37,177,914
round_shots,200,200,100,100,100,100
