round_queries,300,700,2500,11700,59500,305700
round_k,0,3,12,58,297,1528
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,4300,21300,111100,569500
round_k,0,1,4,21,106,555,2847
round_shots,400,100,100,100,100,100
round_queries,400,900,3900,17300,85700,441900
round_k,0,4,19,86,428,2209
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4900,25500,129100,672900
round_k,0,1,5,24,127,645,3364
round_shots,400,100,100,100,100,100,100
round_queries,400,700,2500,9500,38100,178500,924900
round_k,0,3,12,47,190,892,4624
round_shots,300,100,100,100,100,100,100
round_queries,300,700,2500,11500,58100,293500,1533300
round_k,0,3,12,57,290,1467,7666
round_shots,400,100,100,100,100,100,100
round_queries,400,700,2500,11300,57100,287700,1487900
round_k,0,3,12,56,285,1438,7439
round_shots,300,100,100,100,100,100,100
round_queries,300,700,2500,11900,47900,210300,1045100
round_k,0,3,12,59,239,1051,5225
round_shots,200,100,100,100,100,100,100
round_queries,200,500,1700,7500,38900,200300,1034500
round_k,0,2,8,37,194,1001,5172
round_shots,300,100,100,100,100,100
round_queries,300,700,3100,13900,71500,361300
round_k,0,3,15,69,357,1806
round_shots,100,100,100,100,100,100,100
round_queries,100,300,900,3300,14500,71500,352500
round_k,0,1,4,16,72,357,1762
round_shots,200,100,100,100,100,100
round_queries,200,700,3300,14300,63500,316700
round_k,0,3,16,71,317,1583
round_shots,400,100,100,100,100,100,100
round_queries,400,700,2500,11900,50700,252100,1303500
round_k,0,3,12,59,253,1260,6517
round_shots,400,100,100,100,100,100
round_queries,400,900,3500,15100,76300,390700
round_k,0,4,17,75,381,1953
round_shots,400,100,100,100,100,100
round_queries,400,900,4700,18300,87700,457100
round_k,0,4,23,91,438,2285
round_shots,300,100,100,100,100,100
round_queries,300,700,3300,14300,67100,337100
round_k,0,3,16,71,335,1685
round_shots,400,100,100,100,100,100
round_queries,400,900,4100,20100,101300,522700
round_k,0,4,20,100,506,2613
round_shots,300,100,100,100,100,100
round_queries,300,700,3300,15500,74500,383900
round_k,0,3,16,77,372,1919
round_shots,400,100,100,100,100,100
round_queries,400,900,3500,16500,81700,421900
round_k,0,4,17,82,408,2109
round_shots,300,100,100,100,100,100,100
round_queries,300,700,2700,10900,54300,280900,1458700
round_k,0,3,13,54,271,1404,7293
round_shots,300,100,100,100,100,100,100
round_queries,300,700,2500,9900,48300,248900,1287900
round_k,0,3,12,49,241,1244,6439
round_shots,300,100,100,100,100,100,100
round_queries,300,300,900,4300,19700,100300,518500
round_k,0,1,4,21,98,501,2592
round_shots,200,100,100,100,100,100,100
round_queries,200,500,2300,8900,44900,226300,1179100
round_k,0,2,11,44,224,1131,5895
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,4300,19300,94900,491300
round_k,0,1,4,21,96,474,2456
round_shots,300,100,100,100,100,100,100
round_queries,300,500,1700,8100,37900,192300,994900
round_k,0,2,8,40,189,961,4974
round_shots,400,100,100,100,100,100
round_queries,400,700,3300,14100,71500,372700
round_k,0,3,16,70,357,1863
round_shots,300,100,100,100,100,100,100
round_queries,300,300,900,4100,20900,104100,534900
round_k,0,1,4,20,104,520,2674
round_shots,200,100,100,100,100,100,100
round_queries,200,700,2500,9700,44900,231300,1201900
round_k,0,3,12,48,224,1156,6009
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,3300,14700,71300,365500
round_k,0,1,4,16,73,356,1827
round_shots,400,100,100,100,100,100
round_queries,400,700,3300,13900,67700,350700
round_k,0,3,16,69,338,1753
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,4100,17700,71900,337300
round_k,0,1,4,20,88,359,1686
round_shots,200,100,100,100,100,100,100
