round_queries,300,600,1500,6100,30500,145900,727900,3659700,18497100
round_k,0,1,7,30,152,729,3639,18298,92485
round_shots,400,100,100,100,100,100,100,100,100
round_queries,400,300,1300,5100,23900,117700,576300,2903100,17684900
round_k,0,1,6,25,119,588,2881,14515,88424
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1300,5100,22500,108500,536300,2694100,13653100,69240700
round_k,0,1,6,25,112,542,2681,13470,68265,346203
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,1500,6300,29300,144700,717500,3611500,18329900
round_k,0,1,7,31,146,723,3587,18057,91649
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,300,1300,6100,26900,128900,639900,3199700,16111700
round_k,0,1,6,30,134,644,3199,15998,80558
round_shots,300,100,100,100,100,100,100,100,100,100
round_queries,300,300,1100,4700,21300,103700,506100,2551900,12895700,65255700
round_k,0,1,5,23,106,518,2530,12759,64478,326278
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5100,24700,119500,572700,2886300,14526100,73629700
round_k,0,1,6,25,123,597,2863,14431,72630,368148
round_shots,400,100,100,100,100,100,100,100,100
round_queries,400,900,3700,16500,78700,382900,1905500,9648900,48737100
round_k,0,4,18,82,393,1914,9527,48244,243685
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4100,18100,87500,435100,2196100,11114500,56313900
round_k,0,1,5,20,90,437,2175,10980,55572,281569
round_shots,300,100,100,100,100,100,100,100,100,100
round_queries,300,300,1100,4900,23300,111100,551700,2758100,13806100,69731100
round_k,0,1,5,24,116,555,2758,13790,69030,348655
round_shots,300,100,100,100,100,100,100,100,100,100
round_queries,300,300,1100,4500,21100,99900,506100,2524700,12703300,64460300
round_k,0,1,5,22,105,499,2530,12623,63516,322301
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,1500,6100,28500,139900,700500,3499900,17683100
round_k,0,1,7,30,142,699,3502,17499,88415
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,300,1300,6300,27100,131900,652500,3298700,16639100
round_k,0,1,6,31,135,659,3262,16493,83195
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,6100,27700,137100,688100,3460700,17530500
round_k,0,1,6,30,138,685,3440,17303,87652
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4900,22900,106900,533900,2691700,13499300,68238100
round_k,0,1,5,24,114,534,2669,13458,67496,341190
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4100,19100,90700,449300,2250100,11352500,57359100
round_k,0,1,5,20,95,453,2246,11250,56762,286795
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3900,16900,81100,402500,2009500,10222900,51778100
round_k,0,1,5,19,84,405,2012,10047,51114,258890
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,6300,29900,150100,741900,3744700,18877500
round_k,0,1,6,31,149,750,3709,18723,94387
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,21900,104900,524500,2648300,13358700,71075900
round_k,0,1,5,24,109,524,2622,13241,66793,355379
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,300,1500,6300,26700,133100,663900,3342300,16937100
round_k,0,1,7,31,133,665,3319,16711,84685
round_shots,300,100,100,100,100,100,100,100,100,100
round_queries,300,300,1300,5100,22700,108500,539300,2696500,13634300,69129700
round_k,0,1,6,25,113,542,2696,13482,68171,345648
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,300,1300,5900,25700,122300,611100,3078900,15545100
round_k,0,1,6,29,128,611,3055,15394,77725
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1300,6300,27300,134900,665700,3321900,16796500
round_k,0,1,6,31,136,674,3328,16609,83982
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1500,7300,31900,158300,777100,3928300,19843900
round_k,0,1,7,36,159,791,3885,19641,99219
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1300,6100,28300,139100,695500,3502900,17744900
round_k,0,1,6,30,141,695,3477,17514,88724
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4900,23500,115100,563700,2844100,14421100,72575300
round_k,0,1,5,24,117,575,2818,14220,72105,362876
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,4900,21700,95300,465700,2349100,11883900,60281100
round_k,0,1,6,24,108,476,2328,11745,59419,301405
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1300,5300,24700,116900,581700,2917900,14615700,73968700
round_k,0,1,6,26,123,584,2908,14589,73078,369843
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,5100,22500,106700,537700,2695100,13673700,69240900
round_k,0,1,5,25,112,533,2688,13475,68368,346204
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,1300,6300,27900,134300,657700,3331100,16841300
round_k,0,1,6,31,139,671,3288,16655,84206
round_shots,300,100,100,100,100,100,100,100,100,100
round_queries,300,300,1100,4700,22100,108100,541500,2692500,13630900,68937300
round_k,0,1,5,23,110,540,2707,13462,68154,344686
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,1500,7100,35700,173300,877100,4423100,22145700
round_k,0,1,7,35,178,866,4385,22115,110728
round_shots,300,200,100,100,100,100,100,100,100
round_queries,300,600,1500,6300,31100,150100,750700,3772700,19023900
round_k,0,1,7,31,155,750,3753,18863,95119
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,1700,8100,39100,193700,966100,4848700,24565300
round_k,0,1,8,40,195,968,4830,24243,122826
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1300,5300,24900,123100,617500,3087100,15588100
round_k,0,1,6,26,124,615,3087,15435,77940
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,1500,6500,32500,159700,800500,4054700,20581100
round_k,0,1,7,32,162,798,4002,20273,102905
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,1300,5100,22500,107900,530500,2673700,13488700,68370500
round_k,0,1,6,25,112,539,2652,13368,67443,341852
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4900,22100,107300,538900,2692900,13567100,68692500
round_k,0,1,5,24,110,536,2694,13464,67835,343462
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1300,4900,21900,102900,509900,2538700,12620900,63210900
round_k,0,1,6,24,109,514,2549,12693,63104,316054
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5100,23700,115300,567100,2876500,14531900,73209500
round_k,0,1,6,25,118,576,2835,14382,72659,366047
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4500,19100,87100,420900,2126900,10761900,54424700
round_k,0,1,5,22,95,435,2104,10634,53809,272123
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,4900,21900,107100,525100,2665700,13452300,68216700
round_k,0,1,6,24,109,535,2625,13328,67261,341083
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4100,19300,91300,445500,2231100,11236900,56830900
round_k,0,1,5,20,96,456,2227,11155,56184,284154
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,4900,20700,94900,476100,2383900,12043700,61105700
round_k,0,1,6,24,103,474,2380,11919,60218,305528
round_shots,200,200,100,100,100,100,100,100,100,100
round_queries,200,600,1500,5300,24900,118500,583300,2896100,14572700,73926300
round_k,0,1,7,26,124,592,2916,14480,72863,369631
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,3900,17700,85300,422900,2116700,10713700,54132700
round_k,0,1,5,19,88,426,2114,10583,53568,270663
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4900,20900,100300,504900,2535900,12832900,64993100
round_k,0,1,5,24,104,501,2524,12679,64164,324965
round_shots,300,200,100,100,100,100,100,100,100
round_queries,300,600,1500,6100,26500,127100,632300,3178700,16040900
round_k,0,1,7,30,132,635,3161,15893,80204
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,5100,23900,117100,578100,2916500,14729300,74721900
round_k,0,1,5,25,119,585,2890,14582,73646,373609
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,1500,6500,29100,142500,712100,3608700,21965700
round_k,0,1,7,32,145,712,3560,18043,109828
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,1500,6300,30100,148100,742900,3747900,18920700
round_k,0,1,7,31,150,740,3714,18739,94603
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,1300,5100,21900,102700,510900,2579900,12996900,65884300
round_k,0,1,6,25,109,513,2554,12899,64984,329421
round_shots,300,100,100,100,100,100,100,100,100,100
round_queries,300,300,1300,5100,24900,122700,610100,3032900,15316700,77025900
round_k,0,1,6,25,124,613,3050,15164,76583,385129
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,1700,7500,35300,172500,861700,4354300,22025300
round_k,0,1,8,37,176,862,4308,21771,110126
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1300,5500,25700,128300,642300,3226700,16364100
round_k,0,1,6,27,128,641,3211,16133,81820
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,300,1500,6500,32100,153700,766500,3825500,19387500
round_k,0,1,7,32,160,768,3832,19127,96937
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,6100,25900,126900,626900,3144500,15863300
round_k,0,1,6,30,129,634,3134,15722,79316
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1300,5100,23700,114900,572300,2867500,14473700,73235300
round_k,0,1,6,25,118,574,2861,14337,72368,366176
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4100,19500,94500,465300,2338300,11830100,60333100
round_k,0,1,5,20,97,472,2326,11691,59150,301665
round_shots,200,200,100,100,100,100,100,100,100,100
round_queries,200,600,1300,4900,23500,116300,580300,2924900,14802500,74559900
round_k,0,1,6,24,117,581,2901,14624,74012,372799
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1300,4700,22100,108100,541100,2737900,13806500,70067300
round_k,0,1,6,23,110,540,2705,13689,69032,350336
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4900,21700,106700,536500,2686700,13579300,68837700
round_k,0,1,5,24,108,533,2682,13433,67896,344188
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5100,22500,109700,541300,2704100,13728700,68978300
round_k,0,1,6,25,112,548,2706,13520,68643,344891
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,1500,5900,28900,140500,702100,3551100,17980700
round_k,0,1,7,29,144,702,3510,17755,89903
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1300,6100,28500,138900,694300,3486300,17583700
round_k,0,1,6,30,142,694,3471,17431,87918
round_shots,100,200,100,100,100,100,100,100,100
