round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,400,300,200,100,300,200,100
round_queries,200,600,3600,8100,18600,42300,435300,928600,7088900
round_k,1,4,13,46,211,725,2321,8006,35444
round_shots,200,200,400,200,100,100,200,100
round_queries,200,600,3600,8600,14900,45300,275000,2384900
round_k,1,4,21,74,226,687,3148,11924
round_shots,200,200,200,300,100,100,100,100,100
round_queries,200,600,1800,8100,12300,37500,120900,440900,6722100
round_k,1,4,13,61,187,604,2204,8810,33610
round_shots,200,200,800,300,300,100,200,100,100
round_queries,200,600,7200,8100,24300,27300,168200,380100,4623700
round_k,1,4,13,40,136,420,1900,6754,23118
round_shots,200,200,200,400,200,100,100,100
round_queries,200,600,1800,11600,28200,56500,183900,2893900
round_k,1,4,14,70,282,919,3449,14469
round_shots,200,200,300,200,300,200,200,200,100
round_queries,200,600,2700,5800,30900,61800,217000,804600,5188700
round_k,1,4,14,51,154,542,2011,8464,25943
round_shots,200,200,300,200,200,100,100,100
round_queries,200,600,2700,5800,19800,39500,129100,1906500
round_k,1,4,14,49,197,645,2385,9532
round_shots,200,200,800,300,200,100,100,100,100
round_queries,200,600,7200,8100,16200,34900,109100,386900,5718100
round_k,1,4,13,40,174,545,1934,7034,28590
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,200,200,200,200,200,200
round_queries,200,600,1800,6600,25000,94600,401400,5557800
round_k,1,4,16,62,236,1003,4631,13894
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,700,300,100,100,100,100,100
round_queries,200,600,6300,8100,9500,28700,90700,326300,4306900
round_k,1,4,13,47,143,453,1631,5792,21534
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,700,400,200,100,100,100,100
round_queries,200,600,6300,10800,17400,34500,105900,358700,5451700
round_k,1,4,13,43,172,529,1793,6525,27258
round_shots,200,200,700,400,200,200,100,100,100
round_queries,200,600,6300,10800,16200,59400,132700,452700,6873300
round_k,1,4,13,40,148,663,2263,9167,34366
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,300,200,200,200,100,100,100
round_queries,200,600,2700,5400,16200,53000,111100,335500,5736700
round_k,1,4,13,40,132,555,1677,6624,28683
round_shots,200,200,600,200,100,100,100,100
round_queries,200,600,5400,9400,18300,55300,174700,2518700
round_k,1,4,23,91,276,873,3062,12593
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,200,300,200,100,100,200
round_queries,200,600,1800,8100,24200,51100,170300,5289400
round_k,1,4,13,60,255,851,3190,13223
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,200,400,200,100,100,100
round_queries,200,600,1800,11600,28200,55700,194300,2705100
round_k,1,4,14,70,278,971,3640,13525
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,200,700,400,200,200,200,100
round_queries,200,600,1800,20300,34800,52200,173400,684600,5750100
round_k,1,4,14,43,130,433,1711,7656,28750
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,200,200,200,200,100,100,100
round_queries,200,600,1800,6200,19400,65400,130900,423500,6680100
round_k,1,4,15,48,163,654,2117,8402,33400
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,300,200,200,200,100,100,100
round_queries,200,900,1800,6600,21000,38500,125300,1881300
round_k,1,4,16,52,192,626,2266,9406
round_shots,200,200,500,200,100,100,100,100
round_queries,200,600,4500,9000,18300,55500,184300,2820700
round_k,1,4,22,91,277,921,3476,14103
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,300,200,300,200,100,100
round_queries,200,600,2700,7400,35700,93000,183100,2683900
round_k,1,4,18,59,232,915,3289,13419
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,300,300,200,200,100,100
round_queries,200,600,2700,8100,23000,103400,212700,2775900
round_k,1,4,13,57,258,1063,3868,13879
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,200,300,200,200,200,100
round_queries,200,600,1800,8700,24600,99000,423000,4051700
round_k,1,4,14,61,247,1057,4763,20258
round_shots,200,200,200,200,300,200,100,100
round_queries,200,600,1800,5800,33900,80200,176300,2436300
round_k,1,4,14,56,200,881,3343,12181
round_shots,200,200,300,200,200,100,100,100,100
round_queries,200,600,2700,5400,17400,28300,90700,318300,3908700
round_k,1,4,13,43,141,453,1591,5100,19543
round_shots,200,200,200,200,100,100,100,100
round_queries,200,600,1800,6600,12700,38300,126300,1852700
round_k,1,4,16,63,191,631,2256,9263
round_shots,200,200,200,200,200,100,100,100
round_queries,200,600,1800,6600,25800,51500,162300,2153700
round_k,1,4,16,64,257,811,2693,10768
round_shots,200,200,200,200,100,100,100,100,100
round_queries,200,600,1800,6600,12300,37500,126100,448100,7398500
round_k,1,4,16,61,187,630,2240,8145,36992
round_shots,200,200,500,200,100,100,100,100
round_queries,200,600,4500,9000,19300,60100,204300,3283100
round_k,1,4,22,96,300,1021,3918,16415
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,700,200,100,200,100,100
round_queries,200,600,6300,10200,20900,132600,316700,4358300
round_k,1,4,25,104,331,1583,5772,21791
round_shots,200,200,600,100,200,200,200,100
round_queries,200,600,5400,4900,29400,103000,389000,2653500
round_k,1,4,24,73,257,972,3356,13267
round_shots,200,200,400,200,100,100,100,100
round_queries,200,600,3600,8600,16100,51500,175100,2540300
round_k,1,4,21,80,257,875,3146,12701
round_shots,200,200,200,200,200,100,200,200
round_queries,200,600,1800,6600,21400,45500,275400,3693800
round_k,1,4,16,53,227,688,2423,9234
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,300,200,100,200,100,100
round_queries,200,600,2700,7800,15900,101000,216300,2958500
round_k,1,4,19,79,252,1081,3556,14792
round_shots,200,200,400,300,200,200,200,100
round_queries,200,600,3600,8100,21400,97400,387400,3568300
round_k,1,4,13,53,243,968,4360,17841
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,200,200,300,200,100,100,100
round_queries,200,600,1800,6600,36900,78600,164100,577300,7477700
round_k,1,4,16,61,196,820,2886,11170,37388
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,200,700,200,200,100,100,100
round_queries,200,600,1800,18900,16200,48600,89500,319300,4869900
round_k,1,4,13,40,121,447,1596,6311,24349
round_shots,200,200,200,200,200,100,100,100
round_queries,200,600,1800,5800,24200,48500,150500,2342100
round_k,1,4,14,60,242,752,2423,11710
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,200,500,300,100,100,100,100
round_queries,200,600,1800,14500,27300,34100,116300,369900,6600100
round_k,1,4,14,45,170,581,1849,7353,33000
round_shots,200,200,500,200,100,100,100,100
round_queries,200,600,4500,9000,15700,47900,166700,2096500
round_k,1,4,22,78,239,833,2754,10482
