round_queries,800,300,1800,3300,10700,33700,127500,541500,13848700
round_k,1,4,16,53,168,637,2707,12718,69243
round_shots,1200,200,100,100,100,100,100
round_queries,1200,1800,3900,12900,45100,165500,3351300
round_k,4,19,64,225,827,3497,16756
round_shots,900,200,100,100,100,100,100,100
round_queries,900,1400,2500,8100,28500,108100,438900,10905100
round_k,3,12,40,142,540,2194,10211,54525
round_shots,1200,200,200,100,100,100,100,100
round_queries,1200,1400,5000,11300,34700,130300,552300,14207700
round_k,3,12,56,173,651,2761,12941,71038
round_shots,700,100,200,200,100,100,100,100
round_queries,700,300,1800,6200,13300,46100,181900,3809100
round_k,1,4,15,66,230,909,3935,19045
round_shots,800,200,200,100,100,100,100
round_queries,800,1400,5000,10700,38500,149100,3027300
round_k,3,12,53,192,745,3156,15136
round_shots,700,100,200,100,100,100,100,100
round_queries,700,300,1800,3300,10700,37300,143100,2837300
round_k,1,4,16,53,186,715,3000,14186
round_shots,800,100,200,200,100,100,100,100
round_queries,800,300,1800,6200,13700,42100,155500,3102900
round_k,1,4,15,68,210,777,3261,15514
round_shots,800,200,200,100,100,100,100
round_queries,800,1400,5000,11100,39300,154300,3147300
round_k,3,12,55,196,771,3284,15736
round_shots,800,100,200,200,100,100,100,100
round_queries,800,300,1800,6600,13100,44300,173100,3554500
round_k,1,4,16,65,221,865,3680,17772
round_shots,1200,200,200,100,100,100,100
round_queries,1200,1800,6600,12900,41700,161700,3232300
round_k,4,16,64,208,808,3397,16161
round_shots,1000,200,200,100,100,100,100
round_queries,1000,1800,6600,14700,49900,190900,4060700
round_k,4,16,73,249,954,4150,20303
round_shots,1100,200,200,100,100,100,100,100
round_queries,1100,1400,4600,9700,33100,112300,455500,11309300
round_k,3,11,48,165,561,2277,10532,56546
round_shots,1100,200,200,200,100,100,100
round_queries,1100,1800,6200,24200,50700,179700,3596700
round_k,4,15,60,253,898,3724,17983
round_shots,1100,200,100,200,100,100,100,100
round_queries,1100,1400,2500,16200,32900,119700,493500,12531700
round_k,3,12,40,164,598,2467,11542,62658
round_shots,1000,200,200,100,100,100,100,100
round_queries,1000,1400,5000,11500,38300,141900,595300,15465100
round_k,3,12,57,191,709,2976,13974,77325
round_shots,600,100,200,100,100,100,100,100,100
