round_shots,300,200,300,200,200,100,100,100,100
round_queries,300,600,2700,8200,28200,64100,218700,809900,9510700
round_k,1,4,20,70,320,1093,4049,15109,47553
round_shots,200,200,200,200,200,200,200,100
round_queries,200,600,1800,5800,18200,70200,275400,2988300
round_k,1,4,14,45,175,688,2953,14941
round_shots,200,200,200,200,200,100,100,100,100
round_queries,200,600,1800,5400,20200,45500,148700,531700,7083900
round_k,1,4,13,50,227,743,2658,9003,35419
round_shots,300,300,300,200,200,100,200,200,100
round_queries,300,900,2700,7000,24200,45900,301400,904200,8584900
round_k,1,4,17,60,229,753,2260,9743,42924
round_shots,300,300,200,300,200,100,100,100,100
round_queries,300,900,1800,8100,26200,54300,173900,635900,10216900
round_k,1,4,13,65,271,869,3179,11233,51084
round_shots,300,200,200,200,100,200,200,200,100
round_queries,300,600,1800,5800,10500,63400,265000,1075800,6590900
round_k,1,4,14,52,158,662,2689,8282,32954
round_shots,200,300,200,200,100,200,200,100,100
round_queries,200,900,1800,5800,11700,71400,250600,525100,7003700
round_k,1,4,14,58,178,626,2625,7932,35018
round_shots,300,200,200,200,200,100,200,100,100
round_queries,300,600,1800,5400,16200,28300,173000,337100,5022900
round_k,1,4,13,40,141,432,1685,6006,25114
round_shots,200,200,200,200,200,200,100,100
round_queries,200,600,1800,6600,23800,104200,221700,3168500
round_k,1,4,16,59,260,1108,3822,15842
round_shots,300,300,300,300,200,100,100,100,100
round_queries,300,900,2700,8700,24200,48500,161100,560700,7089500
round_k,1,4,14,60,242,805,2803,10416,35447
round_shots,300,300,200,200,200,200,100,100,100
round_queries,300,900,1800,5400,21800,66200,144300,504100,7577300
round_k,1,4,13,54,165,721,2520,9106,37886
round_shots,300,200,200,300,400,200,100,100,100
round_queries,300,600,1800,8100,38800,60600,97700,333900,3093700
round_k,1,4,13,48,151,488,1669,5063,15468
round_shots,200,200,300,200,200,100,100,100
round_queries,200,600,2700,8200,34600,71100,250900,3047300
round_k,1,4,20,86,355,1254,3959,15236
round_shots,300,200,200,200,200,200,300,100,100
round_queries,300,600,1800,6600,21400,87000,560700,677700,9394500
round_k,1,4,16,53,217,934,3388,10895,46972
round_shots,300,200,200,300,200,100,100,100
round_queries,300,600,1800,9900,22600,42100,138700,2302700
round_k,1,4,16,56,210,693,2355,11513
round_shots,200,300,300,200,200,100,100,100
round_queries,200,900,2700,8200,26600,59300,188700,2866700
round_k,1,4,20,66,296,943,3501,14333
round_shots,300,200,300,200,200,100,100,100,100
round_queries,300,600,2700,7400,24200,53300,174100,624700,6661500
round_k,1,4,18,60,266,870,3123,10577,33307
round_shots,300,200,300,300,100,200,100,100,100
round_queries,300,600,2700,8700,12700,76200,163500,588700,10385500
round_k,1,4,14,63,190,817,2943,11530,51927
round_shots,300,200,300,300,200,100,100,100,100
round_queries,300,600,2700,8700,19000,30100,100300,356700,5882500
round_k,1,4,14,47,150,501,1783,6893,29412
round_shots,300,200,200,200,200,100,100,100,100
round_queries,300,600,1800,5800,19400,37500,121900,372300,5032300
round_k,1,4,14,48,187,609,1861,6319,25161
round_shots,300,200,200,200,200,100,100,200,100
round_queries,300,600,1800,5400,21000,44900,140700,992200,9947300
round_k,1,4,13,52,224,703,2480,10932,49736
round_shots,300,200,200,200,200,200,100,100,100
round_queries,300,600,1800,6600,24600,80200,145300,482900,8902700
round_k,1,4,16,61,200,726,2414,8827,44513
round_shots,300,200,200,200,200,100,200,100
round_queries,300,600,1800,5800,21000,45300,289800,2662300
round_k,1,4,14,52,226,724,3274,13311
round_shots,300,200,200,200,200,100,100,100,100
round_queries,300,600,1800,5800,20600,41700,137100,446100,6843900
round_k,1,4,14,51,208,685,2230,7741,34219
round_shots,300,200,200,200,200,100,200,100,100
round_queries,300,600,1800,6600,25800,44100,265800,480300,4956100
round_k,1,4,16,64,220,664,2401,7218,24780
round_shots,300,300,300,300,200,100,100,100,100
round_queries,300,900,2700,8700,20200,41500,138100,491700,7717900
round_k,1,4,14,50,207,690,2458,9696,38589
round_shots,300,300,200,300,200,100,200,100,100
round_queries,300,900,1800,8100,21800,46300,290600,660100,10336900
round_k,1,4,13,54,231,726,3300,13353,51684
round_shots,200,200,200,200,200,200,100,100,100
round_queries,200,600,1800,5800,23400,83800,179700,672500,8645500
round_k,1,4,14,58,209,898,3362,11930,43227
round_shots,300,300,200,200,200,200,200,100
round_queries,300,900,1800,5800,20600,82600,265000,2334300
round_k,1,4,14,51,206,662,2923,11671
round_shots,300,200,200,200,200,100,100,100
round_queries,300,600,1800,7000,25000,53100,177900,3270700
round_k,1,4,17,62,265,889,3269,16353
round_shots,200,300,300,300,200,200,100,100,100
round_queries,200,900,2700,8700,21400,87800,184900,644900,10166900
round_k,1,4,14,53,219,924,3224,11480,50834
round_shots,300,300,400,200,200,100,100,100
round_queries,300,900,4400,8200,29800,55900,194500,2435500
round_k,1,5,20,74,279,972,3123,12177
round_shots,300,200,300,200,200,100,200,100
round_queries,300,600,3300,7000,26200,55500,370200,3016700
round_k,1,5,17,65,277,925,4142,15083
round_shots,200,300,300,200,200,200,100,100
round_queries,200,900,2700,5800,21400,84600,196300,3075300
round_k,1,4,14,53,211,981,3717,15376
round_shots,300,200,200,200,200,200,100,100,100
round_queries,300,600,1800,5400,16200,69800,153300,549500,9654100
round_k,1,4,13,40,174,766,2747,11176,48270
round_shots,200,300,200,200,200,100,100,100,100
round_queries,200,900,1800,5800,17800,28300,89900,316500,5088500
round_k,1,4,14,44,141,449,1582,6002,25442
round_shots,300,200,300,200,100,100,100,100,100
round_queries,300,600,2700,8200,13900,44300,143300,477300,7174300
round_k,1,4,20,69,221,716,2386,8398,35871
round_shots,300,200,200,300,200,200,200,100
round_queries,300,600,1800,8100,20600,81400,365400,2750100
round_k,1,4,13,51,203,913,3780,13750
round_shots,300,200,200,300,200,200,300,100,100
round_queries,300,600,1800,8700,20200,66200,307500,430700,5679300
round_k,1,4,14,50,165,512,2153,6899,28396
round_shots,300,200,200,200,200,100,100,100,100
round_queries,300,600,1800,5400,22600,46500,142700,475300,6542300
round_k,1,4,13,56,232,713,2376,7581,32711
round_shots,300,300,200,200,200,100,100,100,100
round_queries,300,900,1800,5400,18200,35300,111900,363500,4204300
round_k,1,4,13,45,176,559,1817,5953,21021
round_shots,300,200,300,200,200,200,100,100
round_queries,300,600,2700,8200,31000,137400,219500,3267700
round_k,1,4,20,77,343,1097,4085,16338
round_shots,200,200,300,500,200,200,100,100,100
round_queries,200,600,2700,14500,25000,85400,171900,519100,7533300
round_k,1,4,14,62,213,859,2595,10258,37666
round_shots,400,200,200,200,200,200,100,100,100
round_queries,400,600,1800,5400,18600,61800,106300,330100,4440500
round_k,1,4,13,46,154,531,1650,6139,22202
round_shots,300,200,200,200,200,100,100,100
round_queries,300,600,1800,5800,22600,47900,159900,2356500
round_k,1,4,14,56,239,799,2907,11782
round_shots,200,200,300,200,100,100,100,100,100
round_queries,200,600,2700,8200,16700,52500,177500,586900,6951500
round_k,1,4,20,83,262,887,2934,11376,34757
round_shots,400,300,200,400,200,100,100,100,100
round_queries,400,900,1800,10800,22200,46300,148500,515100,9318100
round_k,1,4,13,55,231,742,2575,10363,46590
round_shots,200,200,300,200,200,200,100,100
round_queries,200,600,3300,7000,26600,107800,206900,3052900
round_k,1,5,17,66,269,1034,3736,15264
round_shots,300,200,200,200,200,100,100,200,100
round_queries,300,600,1800,5800,22600,50700,167500,1224600,6969100
round_k,1,4,14,56,253,837,3061,9578,34845
round_shots,200,300,200,200,200,100,100,100,100
round_queries,200,900,1800,5800,20600,37500,123900,436500,6754500
round_k,1,4,14,51,187,619,2182,8646,33772
round_shots,300,200,200,200,300,100,100,100,100
round_queries,300,600,1800,6600,29700,36100,113700,373500,6152700
round_k,1,4,16,49,180,568,1867,7179,30763
round_shots,300,200,200,300,300,200,100,100
round_queries,300,600,1800,8100,34500,85000,174900,2375300
round_k,1,4,13,57,212,874,3070,11876
round_shots,300,200,300,200,200,100,100,100,100
round_queries,300,600,2700,5800,19400,40100,124900,417300,5626100
round_k,1,4,14,48,200,624,2086,6709,28130
round_shots,300,300,300,200,200,100,100,300,100
round_queries,300,900,2700,5800,19400,36700,114300,1131300,4620300
round_k,1,4,14,48,183,571,1885,5994,23101
round_shots,300,300,200,200,200,200,100,100,100
round_queries,300,900,1800,5400,16600,60200,129500,439300,5073900
round_k,1,4,13,41,150,647,2196,7996,25369
round_shots,400,200,200,200,200,300,100,100,100
round_queries,400,600,1800,5400,16600,77100,106700,363100,6111900
round_k,1,4,13,41,128,533,1815,6499,30559
round_shots,300,200,200,200,200,200,100,100,100
round_queries,300,600,1800,5400,18600,79800,147700,467900,4830100
round_k,1,4,13,46,199,738,2339,7949,24150
round_shots,200,200,200,200,300,100,100,100,100
round_queries,200,600,1800,5800,26700,31500,101900,361900,5976500
round_k,1,4,14,44,157,509,1809,6956,29882
round_shots,300,200,200,200,300,100,100,100,100
round_queries,300,600,1800,5400,27300,34900,111700,392500,6285900
round_k,1,4,13,45,174,558,1962,7703,31429
round_shots,300,300,200,200,200,100,100,100
round_queries,300,900,1800,7000,26200,54900,185300,2804500
round_k,1,4,17,65,274,926,3361,14022
round_shots,300,200,200,200,200,100,100,200,100
round_queries,300,600,1800,6200,22600,48300,160500,1188600,6934500
round_k,1,4,15,56,241,802,2971,8914,34672
round_shots,300,200,200,200,200,100,200,300,100
round_queries,300,600,1800,5400,16600,28900,180600,1142700,5757500
round_k,1,4,13,41,144,451,1904,7536,28787
round_shots,300,200,200,200,200,100,100,100,100
round_queries,300,600,1800,5400,21800,41700,135100,449300,7037500
round_k,1,4,13,54,208,675,2246,8863,35187
round_shots,300,200,300,300,200,100,100,100,100
round_queries,300,600,2700,10500,29000,49500,165900,613500,7247300
round_k,1,4,17,72,247,829,3067,11370,36236
round_shots,300,300,200,200,100,200,200,100,100
round_queries,300,900,1800,5800,10500,63400,271400,547500,8637500
round_k,1,4,14,52,158,678,2737,9754,43187
round_shots,300,200,200,200,300,100,200,100,100
round_queries,300,600,1800,7000,34500,41900,281800,529300,6172500
round_k,1,4,17,57,209,704,2646,10287,30862
round_shots,200,300,300,200,200,200,200,200
round_queries,200,900,2700,8200,28600,126200,533000,6117000
round_k,1,4,20,71,315,1332,4715,15292
round_shots,300,300,200,200,200,100,100,100,100
round_queries,300,900,1800,7000,29800,55900,177100,566700,8734700
round_k,1,4,17,74,279,885,2833,9905,43673
round_shots,300,200,200,200,200,100,100,100,100
round_queries,300,600,1800,5400,19000,39100,123300,419300,6851900
round_k,1,4,13,47,195,616,2096,7865,34259
round_shots,200,200,300,300,200,100,100,100,100
round_queries,200,600,2700,8700,19000,28500,91700,318900,4925900
round_k,1,4,14,47,142,458,1594,5802,24629
round_shots,200,200,200,200,200,100,100,100,100
round_queries,200,600,1800,5400,21400,46900,148900,485700,8130100
round_k,1,4,13,53,234,744,2428,9706,40650
round_shots,300,300,200,300,200,200,100,100,100
round_queries,300,900,1800,8100,20600,85000,142900,478900,7974700
