round_k,0,1,4,11,35,85,191,396,869,1973,4536,10368,23031
round_shots,500,400,300,400,400,300,300,300,300,200,200,200,200
round_queries,500,1200,2700,8400,18000,30300,78300,203100,488700,867800,1959400,4239800,9695800
round_k,0,1,4,10,22,50,130,338,814,2169,4898,10599,24239
round_shots,700,400,300,300,200,300,300,300,300,200,200,200,200
round_queries,700,1200,2700,6300,10600,34500,95700,222900,486900,815400,1779000,4093800,8450600
round_k,0,1,4,10,26,57,159,371,811,2038,4447,10234,21126
round_shots,600,700,400,300,300,200,200,200,200,200,300,300,200
round_queries,600,2100,3600,6300,15900,30600,64200,131800,296600,666200,2031900,4118100,7335000
round_k,0,1,4,10,26,76,160,329,741,1665,3386,6863,18337
round_shots,600,400,400,500,300,200,200,200,200,300,300,300,300
round_queries,600,1200,3600,10500,14100,23400,48600,101800,209000,705900,1808100,4833900,12303300
round_k,0,1,4,10,23,58,121,254,522,1176,3013,8056,20505
round_shots,600,400,400,300,200,200,200,300,300,200,200,300,200
round_queries,600,1200,3600,6900,12200,25000,53400,164700,390900,634600,1441000,4766100,8207000
round_k,0,1,4,11,30,62,133,274,651,1586,3602,7943,20517
round_shots,700,400,500,300,300,300,200,200,200,200,300,300,300,100
round_queries,700,1200,4500,6900,14100,33300,55400,126600,284200,629000,2042100,4814700,10694100,7360900
round_k,0,1,4,11,23,55,138,316,710,1572,3403,8024,17823,36804
round_shots,700,500,300,300,200,200,300,300,300,200,200,200,200
round_queries,700,1500,2700,6300,11400,23400,78300,191700,473700,851400,1757400,3949400,8310200
round_k,0,1,4,10,28,58,130,319,789,2128,4393,9873,20775
round_shots,600,400,500,300,300,200,200,200,200,200,200,200,300
round_queries,600,1200,4500,8700,17700,27000,55800,121000,271400,617400,1378200,3061800,9827100
round_k,0,1,4,14,29,67,139,302,678,1543,3445,7654,16378
round_shots,700,500,400,600,300,300,300,200,200,200,300,200,200
round_queries,700,1500,3600,12600,14100,36900,85500,141400,308600,681800,2182500,3563800,7270600
round_k,0,1,4,10,23,61,142,353,771,1704,3637,8909,18176
round_shots,500,500,300,400,400,200,200,300,300,300,300,200,200,200
round_queries,500,1500,2700,8400,18800,19000,38600,123900,271500,631500,1275900,1929400,4456600,10277400
round_k,0,1,4,10,23,47,96,206,452,1052,2126,4823,11141,25693
round_shots,600,400,500,400,300,200,300,300,400,300,200,200,200
round_queries,600,1200,4500,9200,17700,30600,98100,205500,560400,1063500,1684200,3657800,8310600
round_k,0,1,4,11,29,76,163,342,700,1772,4210,9144,20776
round_shots,700,400,400,400,400,200,300,200,200,200,200,200,200,100
round_queries,700,1200,3600,8400,18000,18200,59100,111000,236600,545400,1254600,2753800,6203400,7163500
round_k,0,1,4,10,22,45,98,277,591,1363,3136,6884,15508,35817
round_shots,600,400,500,400,300,200,200,200,200,200,200,200,200,100
round_queries,600,1200,4500,9200,17700,25800,52200,113800,238600,516600,1172200,2713800,6271400,7248900
round_k,0,1,4,11,29,64,130,284,596,1291,2930,6784,15678,36244
round_shots,500,500,400,300,400,200,200,200,200,200,300,200,200
round_queries,500,1500,3600,6300,18800,27800,58600,124200,277400,622200,2088300,3422200,7528600
round_k,0,1,4,10,23,69,146,310,693,1555,3480,8555,18821
round_shots,600,500,500,300,300,200,200,200,200,300,200,200,200,100
round_queries,600,1500,4500,6900,15900,23400,48600,105400,234200,758100,1312200,2983400,6828200,7637100
round_k,0,1,4,11,26,58,121,263,585,1263,3280,7458,17070,38185
round_shots,500,700,400,700,500,400,400,300,200,200,200,200,200,100
round_queries,500,2100,3600,16100,25500,46000,106800,167700,254600,580200,1224200,2778200,6225400,7036100
round_k,0,1,4,11,25,57,133,279,636,1450,3060,6945,15563,35180
round_shots,600,500,300,300,300,300,300,200,200,200,200,200,200
round_queries,600,1500,2700,6300,14100,34500,98100,172200,360200,791800,1761000,4063800,9148200
round_k,0,1,4,10,23,57,163,430,900,1979,4402,10159,22870
round_shots,600,500,300,400,300,300,200,200,200,200,200,200,200
round_queries,600,1500,2700,8400,15900,39900,73800,160600,369000,839000,1859800,4169400,9268200
round_k,0,1,4,10,26,66,184,401,922,2097,4649,10423,23170
round_shots,700,400,300,400,300,300,200,200,200,200,400,300,200
round_queries,700,1200,2700,8400,13500,34500,59400,137000,295800,671000,2854000,5852700,9889000
round_k,0,1,4,10,22,57,148,342,739,1677,3567,9754,24722
round_shots,600,400,400,500,200,200,200,200,200,200,200,200,200,200
round_queries,600,1200,3600,10500,9400,19400,39400,81800,180600,397000,821800,1893000,4180200,9337400
round_k,0,1,4,10,23,48,98,204,451,992,2054,4732,10450,23343
round_shots,500,400,400,300,400,300,200,200,200,200,200,200,200
round_queries,500,1200,3600,6900,18800,35700,58200,127400,292600,638200,1428200,3141400,7091400
round_k,0,1,4,11,23,59,145,318,731,1595,3570,7853,17728
round_shots,600,400,300,300,400,300,300,300,400,300,300,300,100
round_queries,600,1200,2700,6300,18000,37500,82500,193500,690000,1358700,3002700,7576500,6156900
round_k,0,1,4,10,22,62,137,322,862,2264,5004,12627,30784
round_shots,500,500,400,300,300,300,300,200,200,300,300,200,200
round_queries,500,1500,3600,6900,14100,29700,78900,136600,310600,981900,2386500,4094200,9163400
round_k,0,1,4,11,23,49,131,341,776,1636,3977,10235,22908
round_shots,500,600,400,300,400,300,200,200,200,200,300,200,300
round_queries,500,1800,3600,6900,18800,33900,50200,102600,232600,518200,1790700,3063400,9602700
round_k,0,1,4,11,23,56,125,256,581,1295,2984,7658,16004
round_shots,700,400,500,600,200,300,300,200,200,200,200,200,300
round_queries,700,1200,4500,13800,11800,36300,92100,143800,295400,671000,1483000,3400600,11391300
round_k,0,1,4,11,29,60,153,359,738,1677,3707,8501,18985
round_shots,600,500,300,400,300,300,300,300,400,400,300,300,200
round_queries,600,1500,2700,8400,13500,34500,86100,215100,639600,1619600,2721900,6798300,11131000
round_k,0,1,4,10,22,57,143,358,799,2024,4536,11330,27827
round_shots,600,400,300,200,300,300,300,300,200,200,200,200,200,100
round_queries,600,1200,2700,4200,13500,29700,77100,176100,244200,516600,1176200,2707400,6140200,7033900
round_k,0,1,4,10,22,49,128,293,610,1291,2940,6768,15350,35169
round_shots,600,400,500,500,300,300,200,300,200,200,200,200,300
round_queries,600,1200,4500,11500,15900,34500,60600,188700,293000,663000,1473000,3345400,10611300
round_k,0,1,4,11,26,57,151,314,732,1657,3682,8363,17685
round_shots,500,500,300,300,300,300,200,200,300,200,200,200,200
round_queries,500,1500,2700,6300,15900,39900,70200,153400,506100,883800,2003000,4570600,10472200
round_k,0,1,4,10,26,66,175,383,843,2209,5007,11426,26180
round_shots,600,600,400,400,200,300,200,300,200,200,200,200,200
round_queries,600,1800,3600,8400,10600,34500,56600,185700,325800,720600,1609800,3553000,7877400
round_k,0,1,4,10,26,57,141,309,814,1801,4024,8882,19693
round_shots,600,500,500,200,300,300,300,200,200,300,200,300
round_queries,600,1500,4500,5800,18300,51300,128100,213000,479400,1632300,2915400,10096500
round_k,0,1,4,14,30,85,213,532,1198,2720,7288,16827
round_shots,600,400,400,300,300,400,300,200,200,200,200,200,200
round_queries,600,1200,3600,6300,14100,42800,84300,149800,326200,737000,1683000,3869800,8786200
round_k,0,1,4,10,23,53,140,374,815,1842,4207,9674,21965
round_shots,500,400,500,400,300,300,200,200,200,200,200,300,300,100
round_queries,500,1200,4500,8400,14100,34500,63000,136600,306200,647000,1364200,4157700,8463300,5958500
round_k,0,1,4,10,23,57,157,341,765,1617,3410,6929,14105,29792
round_shots,800,400,300,300,300,300,300,300,300,200,300,300,200
round_queries,800,1200,2700,6300,12900,35700,92700,231900,559500,928600,2935500,7101300,11763000
round_k,0,1,4,10,21,59,154,386,932,2321,4892,11835,29407
round_shots,600,700,400,300,200,200,200,200,200,300,200,200,200,200
round_queries,600,2100,3600,6900,9800,20200,41000,87800,199800,639900,885800,1783000,4097800,9123000
round_k,0,1,4,11,24,50,102,219,499,1066,2214,4457,10244,22807
round_shots,700,500,300,400,300,300,200,200,200,200,200,200,200,100
round_queries,700,1500,2700,8400,15900,33900,55800,119800,263400,599800,1257000,2717000,6056200,6473900
round_k,0,1,4,10,26,56,139,299,658,1499,3142,6792,15140,32369
round_shots,600,400,300,400,400,200,200,200,200,300,200,200,200,100
round_queries,600,1200,2700,8400,18800,20200,42200,86200,179400,599700,1077800,2411000,5532600,6384900
round_k,0,1,4,10,23,50,105,215,448,999,2694,6027,13831,31924
round_shots,600,600,400,300,300,200,200,200,200,200,200,300,200,100
round_queries,600,1800,3600,6300,14100,23000,51400,112200,252200,548600,1250200,3858900,6586600,7595300
round_k,0,1,4,10,23,57,128,280,630,1371,3125,6431,16466,37976
round_shots,600,600,400,300,400,200,200,300,300,200,200,200,200
round_queries,600,1800,3600,6900,18800,25000,53000,175500,410700,686600,1509000,3474600,7930600
round_k,0,1,4,11,23,62,132,292,684,1716,3772,8686,19826
round_shots,700,400,300,200,300,300,300,300,300,200,300,300,100
round_queries,700,1200,2700,4200,13500,33300,78300,181500,471900,875400,2944500,7206300,6474500
round_k,0,1,4,10,22,55,130,302,786,2188,4907,12010,32372
round_shots,600,400,300,300,400,200,300,200,200,200,200,200,200
round_queries,600,1200,2700,6300,18000,26200,83100,155000,324200,714600,1639000,3705400,7988200
round_k,0,1,4,10,22,65,138,387,810,1786,4097,9263,19970
