round_queries,100,600,700,2900,12300,60700,296900,1509300,7693500
round_k,0,1,3,14,61,303,1484,7546,38467
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2300,10700,52900,267900,1323500,6686700
round_k,0,1,3,11,53,264,1339,6617,33433
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2300,9500,47300,233500,1172900,5966100
round_k,0,1,3,11,47,236,1167,5864,29830
round_shots,100,200,100,100,100,100,100,100
round_queries,100,600,1700,6500,31900,155500,787300,3991500
round_k,0,1,8,32,159,777,3936,19957
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,700,2500,11900,56700,284900,1455100,7392700
round_k,0,1,3,12,59,283,1424,7275,36963
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2300,9300,43500,213300,1071300,5295700
round_k,0,1,3,11,46,217,1066,5356,26478
round_shots,100,200,100,100,100,100,100,100
round_queries,100,1000,3100,14700,70700,353700,1791300,9109100
round_k,0,2,15,73,353,1768,8956,45545
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2900,14500,72300,360700,1816500,9264100
round_k,0,1,3,14,72,361,1803,9082,46320
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,700,3100,14100,69700,345700,1744100,8890500
round_k,0,1,3,15,70,348,1728,8720,44452
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,700,3100,14700,67100,340900,1743300,8694500
round_k,0,1,3,15,73,335,1704,8716,43472
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2500,11300,54100,265300,1338300,6824700
round_k,0,1,3,12,56,270,1326,6691,34123
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,700,2500,10500,52100,254300,1201300,5942900
round_k,0,1,3,12,52,260,1271,6006,29714
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2300,9700,45700,223900,1122900,5721700
round_k,0,1,3,11,48,228,1119,5614,28608
round_shots,100,200,100,100,100,100,100,100
round_queries,100,600,1700,7500,35100,171700,859100,4381700
round_k,0,1,8,37,175,858,4295,21908
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,3100,15300,75500,383500,1943700,9893100
round_k,0,1,3,15,76,377,1917,9718,49465
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,700,2500,10700,51500,260500,1315900,6692900
round_k,0,1,3,12,53,257,1302,6579,33464
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,2700,12500,62100,308900,1566300,7966300
round_k,0,1,4,13,62,310,1544,7831,39831
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2500,11300,53900,270900,1378500,6982500
round_k,0,1,3,12,56,269,1354,6892,34912
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2500,12300,61500,306700,1563900,7967500
round_k,0,1,3,12,61,307,1533,7819,39837
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2900,12500,60100,293900,1484100,7560700
