round_k,1,5,17,52,179,719,3203
round_shots,200,200,300,100,100,100,100
round_queries,200,600,2700,4300,13500,42900,751900
round_k,1,4,21,67,214,843,3759
round_shots,200,200,100,200,200,200,100
round_queries,200,600,900,5400,22200,79000,523500
round_k,1,4,13,55,197,685,2617
round_shots,200,200,100,200,100,100,100
round_queries,200,600,900,5400,9700,32100,530700
round_k,1,4,13,48,160,612,2653
round_shots,200,200,200,200,200,100
round_queries,200,600,1800,7000,26600,222100
round_k,1,4,17,66,309,1110
round_shots,200,200,200,200,100,100,100
round_queries,200,600,1800,5400,9500,29700,436700
round_k,1,4,13,47,148,526,2183
round_shots,300,200,200,200,100,100,100
round_queries,300,600,1800,7000,12100,42100,615500
round_k,1,4,17,60,210,817,3077
round_shots,300,200,200,200,200,100,100
round_queries,300,600,1800,7000,21400,39900,551700
round_k,1,4,17,53,199,627,2758
round_shots,300,200,200,200,100,100
round_queries,300,600,1800,7000,14500,177700
round_k,1,4,17,72,225,888
round_shots,200,200,200,200,100,100,100
round_queries,200,600,1800,5400,12500,44300,664700
round_k,1,4,13,62,221,844,3323
round_shots,200,100,200,200,200,100,100
round_queries,200,300,1800,6600,22200,43100,688500
round_k,1,4,16,55,215,827,3442
round_shots,200,200,200,200,100,100,100
round_queries,200,600,1800,5400,8300,28700,458500
round_k,1,4,13,41,143,535,2292
round_shots,200,200,200,200,100,100,100
round_queries,200,600,1800,5400,9100,29900,456100
round_k,1,4,13,45,149,554,2280
round_shots,200,200,200,200,100,100,100
round_queries,200,600,1800,7800,13500,43300,738300
round_k,1,4,19,67,216,819,3691
round_shots,200,200,200,200,100,200,100
round_queries,200,600,1800,5800,10900,73000,649500
round_k,1,4,14,54,182,871,3247
round_shots,300,200,200,200,200,100,100
round_queries,300,600,1800,5800,19000,32700,385100
round_k,1,4,14,47,163,513,1925
round_shots,200,200,200,200,200,100,100
round_queries,200,600,1800,5800,27400,57500,672900
round_k,1,4,14,68,287,1050,3364
round_shots,200,200,200,100,200,100,100
round_queries,200,600,1800,3300,21000,39900,546100
round_k,1,4,16,52,199,702,2730
round_shots,200,100,200,200,100,100,100
round_queries,200,300,1800,5800,12300,45100,670500
round_k,1,4,14,61,225,788,3352
round_shots,300,200,200,200,100,100,100
round_queries,300,600,1800,5400,8900,29900,422100
round_k,1,4,13,44,149,517,2110
round_shots,300,200,200,200,200,100
round_queries,300,600,1800,7000,25400,231900
round_k,1,4,17,63,282,1159
round_shots,200,200,200,200,100,100,100
round_queries,200,600,1800,6600,10500,31900,519500
round_k,1,4,16,52,159,600,2597
round_shots,200,200,200,100,100,100,100
round_queries,200,600,1800,2900,8700,28700,416500
round_k,1,4,14,43,143,490,2082
round_shots,300,200,200,200,100,100,100
round_queries,300,600,1800,6600,12100,42300,737700
round_k,1,4,16,60,211,810,3688
round_shots,200,100,200,100,200,100,100
round_queries,200,300,1800,3500,22200,43300,752700
round_k,1,4,17,55,216,839,3763
round_shots,300,200,200,200,200,200
