round_queries,100,300,700,2500,12500,60300,297500,1484900,7390500,36705500
round_k,0,1,3,12,62,301,1487,7424,36952,183527
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,12300,58300,292300,1475100,7404900,37395500
round_k,0,1,3,14,61,291,1461,7375,37024,186977
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2500,12500,61100,300500,1502500,7605500,38529100
round_k,0,1,3,12,62,305,1502,7512,38027,192645
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2700,12500,58100,285700,1442300,7260300,36521300
round_k,0,1,3,13,62,290,1428,7211,36301,182606
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,700,3100,13300,64500,324500,1641700,8261100,41867100
round_k,0,1,3,15,66,322,1622,8208,41305,209335
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,12500,60300,284900,1422500,7187100,36393100
round_k,0,1,3,13,62,301,1424,7112,35935,181965
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,2100,9900,48100,241900,1222100,6158300,31038700
round_k,0,1,10,49,240,1209,6110,30791,155193
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2500,10700,53100,266300,1329700,6728700,34165100
round_k,0,1,3,12,53,265,1331,6648,33643,170825
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2300,9700,44100,217500,1074900,5347300,26812500
round_k,0,1,3,11,48,220,1087,5374,26736,134062
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,12300,57100,278900,1388900,7023500,35445900
round_k,0,1,3,13,61,285,1394,6944,35117,177229
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,12700,63300,317100,1575300,7970500,40222900
round_k,0,1,3,13,63,316,1585,7876,39852,201114
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2100,8900,41100,199300,992500,5022900,25427100
round_k,0,1,3,10,44,205,996,4962,25114,127135
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,12900,62100,313500,1590900,8030300,40643100
round_k,0,1,3,13,64,310,1567,7954,40151,203215
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2500,10300,50500,249300,1257300,6351300,32123900
round_k,0,1,3,12,51,252,1246,6286,31756,160619
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,500,2300,10100,49100,242900,1218300,6118100,30758300
round_k,0,2,11,50,245,1214,6091,30590,153791
