round_k,2,9,30,109,421,1538,5793,20263,80736,358081
round_shots,1400,500,200,200,200,100,200,200,100
round_queries,1400,2500,4600,16200,59800,125900,784600,2380200,22664500
round_k,2,11,40,149,629,1961,5950,27331,113322
round_shots,1200,300,300,300,200,100,100,100,100,100
round_queries,1200,1500,5700,21900,61800,129500,407300,1269100,4428300,76349700
round_k,2,9,36,154,647,2036,6345,22141,90144,381748
round_shots,1500,500,200,200,200,100,100,100,100,100
round_queries,1500,2500,4600,16600,57800,120300,372700,1175300,4190100,72952500
round_k,2,11,41,144,601,1863,5876,20950,81047,364762
round_shots,1200,300,200,200,200,100,100,100,100,100
round_queries,1200,1500,3800,14200,52600,108100,334300,1130700,4179100,73119300
round_k,2,9,35,131,540,1671,5653,20895,83300,365596
round_shots,1300,400,200,200,200,100,100,200,100,100
round_queries,1300,2000,4600,15000,52200,95700,297300,1855800,3258900,49445700
round_k,2,11,37,130,478,1486,4639,16294,56890,247228
round_shots,1000,400,200,200,200,100,100,100,100,100
round_queries,1000,2000,4600,17400,66200,140300,444900,1409500,5126100,76367500
round_k,2,11,43,165,701,2224,7047,25630,89407,381837
round_shots,1300,400,200,200,200,200,100,100,100
round_queries,1300,2000,4600,15800,55400,211000,431900,1487100,23128500
round_k,2,11,39,138,527,2159,7435,27938,115642
round_shots,1300,200,300,200,300,300,200,100,200,100
round_queries,1300,600,2700,7400,37500,112500,237400,499300,3469800,33001100
round_k,1,4,18,62,187,593,2496,8674,38536,165005
round_shots,1100,400,200,300,200,200,200,100,100
round_queries,1100,2000,4600,23100,57800,214200,863800,1705700,26084900
round_k,2,11,38,144,535,2159,8528,32362,130424
round_shots,1300,400,200,200,200,200,300,200,100
round_queries,1300,2000,4600,14600,46200,179800,1181700,2520200,22164100
round_k,2,11,36,115,449,1969,6300,27299,110820
round_shots,1200,300,200,200,200,200,100,100,100,100
round_queries,1200,1500,3800,11400,43800,169000,271900,860700,3146700,42394700
round_k,2,9,28,109,422,1359,4303,15733,62703,211973
round_shots,1000,400,200,200,200,100,100,200,100,100
round_queries,1000,2000,4600,15800,59400,104700,322100,2182200,4344900,69862100
round_k,2,11,39,148,523,1610,5455,21724,81667,349310
round_shots,900,500,300,200,300,300,300,100,100
round_queries,900,2500,8100,18600,97500,292500,1078500,1515700,21488300
round_k,2,13,46,162,487,1797,7578,26309,107441
round_shots,1400,300,200,200,200,200,200,100,100,200
round_queries,1400,900,1800,5400,16600,64600,269400,540500,1625900,48293000
round_k,1,4,13,41,161,673,2702,8129,30427,120732
round_shots,1400,400,400,300,100,100,100,200,100,100
round_queries,1400,2000,6800,16500,21900,65700,197100,1182600,2504700,36902300
round_k,2,8,27,109,328,985,2956,12523,42833,184511
round_shots,700,400,200,200,100,100,100,100,100,100
round_queries,700,2000,4600,13800,25500,76500,235500,768700,2653500,39502900
round_k,2,11,34,127,382,1177,3843,13267,45717,197514
round_shots,1200,400,200,200,200,200,200,100,100
round_queries,1200,2000,4600,15000,60200,221400,971400,2245300,31406300
round_k,2,11,37,150,553,2428,11226,36902,157031
round_shots,1300,500,200,200,200,100,100,100,100,100
round_queries,1300,2500,4600,15000,50200,99500,299300,1015900,3704900,39802100
round_k,2,11,37,125,497,1496,5079,18524,64732,199010
round_shots,1300,300,200,300,200,200,100,100,100,100
round_queries,1300,900,1800,8100,19400,77800,145100,438700,1513900,23354700
round_k,1,4,13,48,194,725,2193,7569,28073,116773
round_shots,1000,400,200,200,200,100,200,100,200,100
round_queries,1000,2000,4600,16600,59400,112500,715800,1496300,11066200,70175500
round_k,2,11,41,148,562,1789,7481,27665,97256,350877
round_shots,1300,500,200,300,200,100,100,100,100,100
round_queries,1300,2500,5400,26100,69800,134900,412300,1348300,5010300,67856900
round_k,2,13,43,174,674,2061,6741,25051,98181,339284
round_shots,1300,600,200,200,200,100,100,100,100,100
round_queries,1300,3000,5400,16600,63400,126100,385300,1166700,4321900,67516100
round_k,2,13,41,158,630,1926,5833,21609,79712,337580
round_shots,1400,400,200,200,200,200,100,100,100
round_queries,1400,2000,4600,15800,58600,240200,487100,1670100,26386900
round_k,2,11,39,146,600,2435,8350,31620,131934
round_shots,1400,400,200,200,200,100,100,100,100
round_queries,1400,2000,4600,16600,64600,132700,415700,1345900,19364100
round_k,2,11,41,161,663,2078,6729,23644,96820
round_shots,1200,400,200,200,200,100,100,100,100,100
round_queries,1200,2000,4600,15800,56600,120700,381500,1167500,4015900,64025100
round_k,2,11,39,141,603,1907,5837,20079,81494,320125
round_shots,1000,300,200,200,200,200,100,100,100
round_queries,1000,1500,3800,12200,45800,182200,355300,1154100,20896100
round_k,2,9,30,114,455,1776,5770,21436,104480
round_shots,1000,300,200,200,200,100,100,200,200,100
round_queries,1000,1500,3800,13000,46600,81300,255100,1705400,6609800,38550500
round_k,2,9,32,116,406,1275,4263,16524,56712,192752
round_shots,900,300,200,300,200,400,200,100,100
round_queries,900,1500,3800,19500,55400,469200,738600,1635700,22420500
round_k,2,9,32,138,586,1846,8178,30905,112102
round_shots,1400,500,200,300,200,100,100,100,100,100
round_queries,1400,2500,4600,22500,59400,126300,412300,1277500,4400700,62023500
round_k,2,11,37,148,631,2061,6387,22003,78001,310117
round_shots,700,300,200,200,200,100,100,100,100,100
round_queries,700,1500,3800,13000,48600,93900,291100,925300,3326500,52912100
round_k,2,9,32,121,469,1455,4626,16632,66644,264560
round_shots,1100,400,200,200,200,200,100,200,100
round_queries,1100,2000,4600,15000,54600,234200,536700,3564200,26028900
round_k,2,11,37,136,585,2683,8910,30934,130144
round_shots,700,200,300,200,200,100,100,100,100,100
round_queries,700,1000,4500,11400,41000,82100,261100,874500,2966900,35772900
round_k,2,7,28,102,410,1305,4372,14834,47910,178864
round_shots,1000,300,200,200,200,100,100,100,100,100
round_queries,1000,1500,3800,12200,46200,96100,302500,928900,3390900,56333700
round_k,2,9,30,115,480,1512,4644,16954,63862,281668
round_shots,1300,500,200,200,200,200,200,200,100
round_queries,1300,2500,5400,16600,62600,259000,975400,3715400,32762700
round_k,2,13,41,156,647,2438,9288,40362,163813
round_shots,1100,400,200,200,200,100,100,300,100
round_queries,1100,2000,4600,17400,59000,124500,373500,3526500,20405100
round_k,2,11,43,147,622,1867,5877,24815,102025
round_shots,1300,400,200,200,200,100,100,100,200,100
round_queries,1300,2000,4600,15000,55000,118500,367100,1200100,8225400,42854900
round_k,2,11,37,137,592,1835,6000,20563,62357,214274
round_shots,1100,400,200,200,200,100,100,100,100
round_queries,1100,2000,4600,15800,63000,134700,423900,1439100,21522100
round_k,2,11,39,157,673,2119,7195,26884,107610
round_shots,700,400,200,200,400,100,200,100,100
round_queries,700,2000,4600,15000,90800,92700,579400,1321100,19160700
round_k,2,11,37,113,463,1448,6605,23473,95803
round_shots,1100,300,200,200,200,200,100,100,200
round_queries,1100,1500,3800,12200,48600,212200,446100,1502100,46570200
round_k,2,9,30,121,530,2230,7510,28084,116425
round_shots,1400,200,300,200,200,100,200,100,100,100
round_queries,1400,1000,4500,9400,36600,78300,470600,982300,3098100,49337300
round_k,2,7,23,91,391,1176,4911,15490,60395,246686
round_shots,1100,300,200,200,200,200,100,100,100
round_queries,1100,1500,3800,13000,43800,186600,402900,1366300,21555100
round_k,2,9,32,109,466,2014,6831,24254,107775
round_shots,1000,300,200,200,200,200,100,100,200,100
round_queries,1000,1500,3800,12200,43400,173000,369900,1230300,9194200,74582100
round_k,2,9,30,108,432,1849,6151,22985,84819,372910
round_shots,1100,300,200,200,200,200,200,200,100
round_queries,1100,1500,3800,13000,51400,197000,851400,3617800,25101700
round_k,2,9,32,128,492,2128,9044,31032,125508
round_shots,1200,500,200,200,200,100,100,200,100
round_queries,1200,2500,4600,16600,64600,138500,439900,2995000,32390700
round_k,2,11,41,161,692,2199,7487,34490,161953
round_shots,1300,300,200,200,200,100,100,100,100,100
round_queries,1300,1500,3800,14200,53800,114300,358500,1211900,4316900,74733300
round_k,2,9,35,134,571,1792,6059,21584,85378,373666
round_shots,1000,200,300,200,200,200,200,300,100,100
round_queries,1000,600,2700,6600,25400,102600,425800,2654700,3180500,47345500
round_k,1,4,16,63,256,1064,4424,15902,53847,236727
round_shots,700,400,200,200,200,100,200,100,200
round_queries,700,2000,4600,15800,54200,116900,708600,1545100,46908200
round_k,2,11,39,135,584,1771,7725,28236,117270
round_shots,700,300,300,200,200,200,100,100,100,100
round_queries,700,1500,5700,13800,45400,168200,335300,1116300,4092900,55015500
round_k,2,9,34,113,420,1676,5581,20464,64576,275077
round_shots,1400,400,200,200,200,100,100,100,100,100
round_queries,1400,2000,4600,15800,53400,104700,326700,1033100,3784100,48191700
round_k,2,11,39,133,523,1633,5165,18920,63872,240958
round_shots,1300,500,400,200,200,200,100,100,100
round_queries,1300,2500,10800,20600,77400,311000,602700,1842900,28320700
round_k,2,13,51,193,777,3013,9214,33589,141603
round_shots,800,300,200,200,200,100,100,100,100,100
round_queries,800,1500,3800,13000,45000,93300,299100,950100,3444100,52541900
