round_queries,200,1800,2500,7900,29500,711100
round_k,1,12,39,147,670,3555
round_shots,100,200,100,100,100,100,100
round_queries,100,600,900,2700,8100,31700,750100
round_k,1,4,13,40,158,712,3750
round_shots,200,600,100,100,100,100
round_queries,200,1800,2300,7100,27700,628700
round_k,1,11,35,138,600,3143
round_shots,200,600,100,100,100,100,100
round_queries,200,1800,900,2700,9700,38300,900100
round_k,1,4,13,48,191,838,4500
round_shots,200,500,100,100,100,100
round_queries,200,1500,900,3100,10500,202100
round_k,1,4,15,52,218,1010
round_shots,200,600,100,100,100,100
round_queries,200,1800,2300,7500,30700,757900
round_k,1,11,37,153,711,3789
round_shots,200,600,100,100,100,100
round_queries,200,1800,2300,7700,29700,697900
round_k,1,11,38,148,667,3489
round_shots,200,500,100,100,100,100
round_queries,200,1500,2100,7300,29900,689700
round_k,1,10,36,149,660,3448
round_shots,300,600,200,100,100
round_queries,300,1800,5000,12500,251100
round_k,1,12,62,259,1255
round_shots,200,600,100,100,100,100
round_queries,200,1800,2300,7300,28500,687900
round_k,1,11,36,142,651,3439
round_shots,200,700,100,100,100,100
round_queries,200,2100,2500,7500,29100,670500
round_k,1,12,37,145,645,3352
round_shots,300,700,100,100,100,100
round_queries,300,2100,2500,7700,29900,683100
round_k,1,12,38,149,662,3415
round_shots,200,500,100,100,100,100,100
round_queries,200,1500,900,2700,8100,30900,745100
round_k,1,4,13,40,154,702,3725
round_shots,200,600,100,100,100,100
round_queries,200,1800,2300,8300,32300,772900
round_k,1,11,41,161,723,3864
round_shots,200,500,100,100,100,100
round_queries,200,1500,900,2700,10300,205700
round_k,1,4,13,51,218,1028
round_shots,200,700,100,100,100,100
round_queries,200,2100,2500,8100,32900,791100
round_k,1,12,40,164,746,3955
round_shots,200,600,100,100,100,100
round_queries,200,1800,2300,7500,29700,691100
round_k,1,11,37,148,663,3455
round_shots,200,700,100,100,100,100
round_queries,200,2100,2500,7700,29700,698700
round_k,1,12,38,148,671,3493
round_shots,200,600,100,100,100,100
round_queries,200,1800,2300,6900,26700,619900
round_k,1,11,34,133,590,3099
round_shots,200,400,200,100,100,100
round_queries,200,1200,3800,7900,30500,731900
round_k,1,9,39,152,697,3659
round_shots,100,600,100,100,100,100
round_queries,100,1800,2500,7500,30900,709700
round_k,1,12,37,154,677,3548
round_shots,200,600,100,100,100,100
round_queries,200,1800,2300,7300,26900,635900
round_k,1,11,36,134,608,3179
round_shots,100,700,100,100,100,100
round_queries,100,2100,2700,9900,38700,948900
round_k,1,13,49,193,877,4744
round_shots,300,500,100,100,100,100
round_queries,300,1500,900,2900,9900,188300
round_k,1,4,14,49,201,941
round_shots,100,700,100,100,100,100
round_queries,100,2100,2500,7700,28300,641100
round_k,1,12,38,141,620,3205
round_shots,200,600,100,100,100,100
round_queries,200,1800,2300,8300,33900,805100
round_k,1,11,41,169,752,4025
round_shots,200,300,200,100,100,100
round_queries,200,900,1800,3100,10900,212300
round_k,1,4,15,54,226,1061
round_shots,200,600,100,100,100,100
round_queries,200,1800,2500,7700,30300,694700
round_k,1,12,38,151,665,3473
round_shots,200,700,100,100,100,100
round_queries,200,2100,2500,7500,27900,658100
round_k,1,12,37,139,627,3290
round_shots,200,700,100,100,100,100
round_queries,200,2100,900,2900,10300,203900
round_k,1,4,14,51,219,1019
round_shots,100,400,200,100,100,100
round_queries,100,1200,1800,3500,12700,247300
round_k,1,4,17,63,265,1236
round_shots,100,600,100,100,100,100
round_queries,100,1800,2500,7500,30100,707100
round_k,1,12,37,150,673,3535
round_shots,200,600,100,100,100,100
round_queries,200,1800,2500,7500,30900,701900
round_k,1,12,37,154,667,3509
round_shots,200,600,100,100,100,100
round_queries,200,1800,2500,7500,27300,642300
round_k,1,12,37,136,612,3211
round_shots,200,500,100,100,100,100
round_queries,200,1500,2300,7300,28100,633500
round_k,1,11,36,140,604,3167
round_shots,200,500,100,100,100,100
round_queries,200,1500,2300,7100,28500,654700
round_k,1,11,35,142,625,3273
round_shots,200,600,100,100,100,100
round_queries,200,1800,2300,7300,27300,611900
round_k,1,11,36,136,588,3059
round_shots,100,600,100,100,100,100
round_queries,100,1800,2500,7500,28100,634700
round_k,1,12,37,140,611,3173
round_shots,300,500,100,100,100,100
round_queries,300,1500,2100,7700,29700,666900
round_k,1,10,38,148,643,3334
round_shots,200,500,100,100,100,100,100
round_queries,200,1500,900,2900,9500,37700,929500
round_k,1,4,14,47,188,859,4647
round_shots,200,600,100,100,100,100
round_queries,200,1800,2300,7700,31700,728100
round_k,1,11,38,158,703,3640
round_shots,200,600,100,100,100,100,100
round_queries,200,1800,900,2700,9300,36100,880100
round_k,1,4,13,46,180,816,4400
round_shots,300,700,100,100,100,100
round_queries,300,2100,900,3100,10900,204300
round_k,1,4,15,54,224,1021
round_shots,200,700,100,100,100
round_queries,200,2100,2700,9900,180700
round_k,1,13,49,191,903
round_shots,200,600,100,100,100,100,100
round_queries,200,1800,900,2700,8300,32100,787700
round_k,1,4,13,41,160,738,3938
round_shots,100,700,200,100,100
round_queries,100,2100,5400,12900,261300
round_k,1,13,64,268,1306
round_shots,200,500,100,100,100,100
round_queries,200,1500,2300,7700,29900,708300
round_k,1,11,38,149,674,3541
round_shots,100,400,100,100,100,100,100
round_queries,100,1200,900,2700,8300,31900,762300
round_k,1,4,13,41,159,714,3811
round_shots,200,300,200,100,100,100
round_queries,200,900,1800,3300,10900,199300
round_k,1,4,16,54,212,996
round_shots,200,400,100,100,100,100,100
round_queries,200,1200,900,2900,10300,39500,1023700
round_k,1,4,14,51,197,929,5118
round_shots,200,600,100,100,100,100
round_queries,200,1800,2500,7700,31100,738300
