round_queries,200,600,2700,7000,26200,51900,327000,695300,2654100,30935100
round_k,1,4,17,65,259,817,3476,13270,44854,154675
round_shots,300,200,200,300,200,300,200,200,100
round_queries,300,600,1800,9900,30200,138300,347400,1053400,7047900
round_k,1,4,16,75,230,868,2633,11211,35239
round_shots,300,300,300,300,300,100,100,100,100,100
round_queries,300,900,2700,10500,32100,39900,124700,426700,1571500,27911900
round_k,1,4,17,53,199,623,2133,7857,31175,139559
round_shots,300,300,300,200,200,200,100,100,100
round_queries,300,900,3300,7000,27800,98200,202900,648300,9484700
round_k,1,5,17,69,245,1014,3241,12221,47423
round_shots,300,200,200,300,200,100,200,100,200,100
round_queries,300,600,1800,8700,20200,34900,213400,370300,2709800,21636300
round_k,1,4,14,50,174,533,1851,6774,27238,108181
round_shots,300,200,300,300,200,100,100,100,100,100
round_queries,300,600,2700,12300,26200,43900,133500,440500,1380100,15144300
round_k,1,4,20,65,219,667,2202,6900,21415,75721
round_shots,200,200,200,300,200,100,100,100,200,100
round_queries,200,600,1800,8700,28600,58900,194500,655300,4533400,29140100
round_k,1,4,14,71,294,972,3276,11333,37841,145700
round_shots,200,200,200,200,200,200,100,100,100
round_queries,200,600,1800,5400,20200,82600,183500,580900,9217900
round_k,1,4,13,50,206,917,2904,10909,46089
round_shots,300,200,200,200,200,100,100,100,100,100
round_queries,300,600,1800,5800,21000,42900,132500,429100,1328300,19244900
round_k,1,4,14,52,214,662,2145,6641,25524,96224
round_shots,400,200,200,200,200,200,200,100,100
round_queries,400,600,1800,6600,25800,80200,312600,618700,9745300
round_k,1,4,16,64,200,781,3093,11676,48726
round_shots,200,200,200,200,200,200,100,100,100,100
round_queries,200,600,1800,5800,21000,81400,173700,523900,1760900,26416500
round_k,1,4,14,52,203,868,2619,8804,32843,132082
round_shots,300,300,200,300,200,200,200,100,100
round_queries,300,900,1800,8700,23000,88200,383000,814900,13046500
round_k,1,4,14,57,220,957,4074,15755,65232
round_shots,300,300,200,200,200,200,100,100,100
round_queries,300,900,1800,5800,20600,73800,158300,539300,7993700
round_k,1,4,14,51,184,791,2696,9997,39968
round_shots,300,200,200,200,200,100,100,100,100,100
round_queries,300,600,1800,5800,19800,40500,122700,403300,1458500,23417500
round_k,1,4,14,49,202,613,2016,7292,28539,117087
round_shots,300,200,300,300,200,100,100,100,100,100
round_queries,300,600,2700,10500,30200,57900,182300,632900,2357900,28758300
round_k,1,4,17,75,289,911,3164,11789,45505,143791
round_shots,300,200,200,200,200,200,100,100,200
round_queries,300,600,1800,5400,21400,73400,148700,486700,14365800
round_k,1,4,13,53,183,743,2433,8951,35914
round_shots,200,300,300,200,200,100,200,100,100,100
round_queries,200,900,2700,5800,19000,37500,226600,422300,1428900,25227500
round_k,1,4,14,47,187,566,2111,7144,28107,126137
round_shots,300,200,200,300,300,200,100,100,200,100
round_queries,300,600,1800,8700,26700,61800,126700,426900,2987800,29427700
round_k,1,4,14,44,154,633,2134,7469,32333,147138
round_shots,300,300,200,200,200,100,100,100,100,100
round_queries,300,900,1800,5800,18200,38100,120700,403700,1458300,22861700
round_k,1,4,14,45,190,603,2018,7291,29356,114308
round_shots,200,200,200,200,200,100,100,200,200,100
round_queries,200,600,1800,5800,18200,34700,104300,684600,2923400,27525500
round_k,1,4,14,45,173,521,1711,7308,31727,137627
round_shots,300,200,300,300,200,200,200,100,100
round_queries,300,600,2700,8100,25400,93000,335000,723300,9374100
round_k,1,4,13,63,232,837,3616,11879,46870
round_shots,200,200,300,200,200,100,100,100,100,100
round_queries,200,600,2700,5400,17000,32500,99700,332500,1113100,17983900
round_k,1,4,13,42,162,498,1662,5565,20618,89919
round_shots,300,300,300,200,200,100,100,100,100,100
round_queries,300,900,2700,5800,19400,37500,116900,375500,1307900,17914500
round_k,1,4,14,48,187,584,1877,6539,25375,89572
round_shots,300,200,200,200,200,100,100,100,100,100
round_queries,300,600,1800,5800,23800,41100,130300,414900,1526100,26809300
round_k,1,4,14,59,205,651,2074,7630,30285,134046
round_shots,300,200,200,200,200,100,100,100,200,100
round_queries,300,600,1800,5800,18200,37500,116300,384700,2548200,16891500
round_k,1,4,14,45,187,581,1923,6370,21692,84457
round_shots,300,300,200,300,200,100,100,100,100,100
round_queries,300,900,1800,8700,23400,47700,153300,508100,1880900,20319300
round_k,1,4,14,58,238,766,2540,9404,31617,101596
round_shots,300,200,200,300,200,200,200,100,100,100
round_queries,300,600,1800,8100,20200,68600,228600,400300,1442100,22235500
round_k,1,4,13,50,171,571,2001,7210,27876,111177
round_shots,300,200,300,200,200,100,100,100,100,100
round_queries,300,600,2700,8200,26600,50100,157300,533500,1772100,29629100
round_k,1,4,20,66,250,786,2667,8860,32610,148145
round_shots,300,200,200,200,200,100,100,100,100,100
round_queries,300,600,1800,5800,20600,41700,133300,408300,1237100,17733100
round_k,1,4,14,51,208,666,2041,6185,24580,88665
round_shots,300,300,300,200,200,100,200,100,100
round_queries,300,900,2700,5800,21400,45700,292200,666100,10484900
round_k,1,4,14,53,228,730,3330,12594,52424
round_shots,300,200,300,300,300,200,100,200,100
round_queries,300,600,2700,8700,26700,67800,145700,1005800,8864700
round_k,1,4,14,44,169,728,2514,10801,44323
round_shots,300,300,200,200,200,100,100,200,100
round_queries,300,900,1800,5800,20200,40700,123900,791800,7484700
round_k,1,4,14,50,203,619,1979,9267,37423
round_shots,300,200,200,300,400,200,100,200,100,100
round_queries,300,600,1800,8700,38000,73000,145300,928200,2008100,30516500
round_k,1,4,14,47,182,726,2320,10040,39520,152582
round_shots,300,200,200,200,200,200,300,200,100,100
round_queries,300,600,1800,5400,16200,52600,310500,621000,1001700,14098300
round_k,1,4,13,40,131,517,1552,5008,17169,70491
round_shots,300,200,200,200,300,200,100,100,100,100
round_queries,300,600,1800,5400,27900,83000,177300,571700,1845700,31227100
round_k,1,4,13,46,207,886,2858,9228,34156,156135
round_shots,300,300,300,200,200,100,100,100,100
round_queries,300,900,3300,7000,27800,57700,179700,617300,9004100
round_k,1,5,17,69,288,898,3086,11362,45020
round_shots,300,300,200,200,200,100,100,100,100,100
round_queries,300,900,1800,5800,21000,42300,128900,427300,1453300,23902100
round_k,1,4,14,52,211,644,2136,7266,27688,119510
round_shots,300,200,200,200,200,200,100,100,100,100
round_queries,300,600,1800,5400,17000,73800,128500,423900,1526300,26274700
round_k,1,4,13,42,184,642,2119,7631,30185,131373
round_shots,200,200,200,200,200,100,100,100,100,100
round_queries,200,600,1800,5400,19000,40300,122700,392900,1397300,22469700
round_k,1,4,13,47,201,613,1964,6986,25958,112348
round_shots,300,200,300,200,200,100,100,200,100,100
round_queries,300,600,2700,7000,23000,45300,138900,939800,2112700,28546300
round_k,1,4,17,57,226,694,2349,10563,32633,142731
round_shots,400,200,200,200,300,200,100,100,200,100
round_queries,400,600,1800,5400,24300,65000,131900,435700,3168600,28995900
round_k,1,4,13,40,162,659,2178,7921,36702,144979
